Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12523613,12523613,3300,3700,2900,399005,1164.0,36,2900,2900,3100,2900,200,2918,2900,-400.0,-12.12,1928,3401,,145095.0,399005.0,1164.0,207,160,47,399000,544100,-145100,-,
26/09/2024,12523613,12523613,3700,4200,3200,195159,635.0,40,3700,3200,3700,3200,500,3253,3200,-500.0,-13.51,1173,3910,,442141.0,195159.0,635.0,166,163,3,194800,637300,-442500,-,
25/09/2024,12523613,12523613,3300,3700,2900,372881,1371.0,46,3700,3700,3700,3400,300,3676,3700,400.0,12.12,2347,4602,19119.0,,372881.0,1371.0,167,81,86,392000,372800,19200,-,
24/09/2024,12523613,12523613,2900,3300,2500,828446,2709.0,41,3300,3300,3300,3000,300,3270,3300,400.0,13.79,2782,6470,167554.0,,828446.0,2709.0,358,128,230,996000,828200,167800,-,
23/09/2024,12523613,12523613,2600,2900,2300,442812,1284.0,36,2900,2900,2900,2900,-,2900,2900,300.0,11.54,3909,17712,346888.0,,442812.0,1284.0,202,25,177,789700,442800,346900,-,
20/09/2024,12523613,12523613,2300,2600,2000,156123,406.0,33,2600,2600,2600,2600,-,2600,2600,300.0,13.04,13739,5781,1767377.0,,156123.0,406.0,140,27,113,1923500,156100,1767400,-,
19/09/2024,12523613,12523613,2000,2300,1700,167882,386.0,29,2300,2300,2300,2300,-,2300,2300,300.0,15.0,19035,4535,2173418.0,,167882.0,386.0,123,37,86,2341300,167800,2173500,-,
18/09/2024,12523613,12523613,1800,2000,1600,330520,653.0,25,1800,2000,2000,1800,200,1976,2000,200.0,11.11,20974,6354,2291280.0,,330520.0,653.0,125,52,73,2621800,330400,2291400,-,
17/09/2024,12523613,12523613,1800,2000,1600,83312,150.0,24,1800,1900,1900,1800,100,1800,1900,100.0,5.56,9044,15496,160888.0,304088.0,83312.0,150.0,27,25,2,244200,387400,-143200,-,
16/09/2024,12523613,12523613,1800,2000,1600,11000,20.0,23,1800,1800,1800,1800,-,1800,1800,,,7371,22829,143800.0,308600.0,11000.0,20.0,21,14,7,154800,319600,-164800,-,
13/09/2024,12523613,12523613,1800,2000,1600,46300,83.0,23,1900,1800,1900,1700,200,1800,1800,,,3733,14931,32100.0,341900.0,46300.0,83.0,21,26,-5,78400,388200,-309800,-,
12/09/2024,12523613,12523613,1800,2000,1600,51142,89.0,23,1700,1800,1900,1700,200,1750,1800,,,5373,10437,88558.0,314158.0,51142.0,89.0,26,35,-9,139700,365300,-225600,-,
11/09/2024,12523613,12523613,1800,2000,1600,2919,5.0,23,1900,1800,1900,1700,200,1800,1800,,,3091,15170,65081.0,300481.0,2919.0,5.0,22,20,2,68000,303400,-235400,-,
10/09/2024,12523613,12523613,1800,2000,1600,74314,132.0,21,1900,1700,1900,1700,200,1771,1700,-100.0,-5.56,5468,11576,62386.0,261386.0,74314.0,132.0,25,29,-4,136700,335700,-199000,-,
09/09/2024,12523613,12523613,1800,2000,1600,20303,37.0,23,1900,1800,1900,1800,100,1801,1800,,,7940,10821,178197.0,239397.0,20303.0,37.0,25,24,1,198500,259700,-61200,-,
06/09/2024,12523613,12523613,1800,2000,1600,63407,114.0,23,1900,1800,1900,1800,100,1801,1800,,,6083,14118,76493.0,247193.0,63407.0,114.0,23,22,1,139900,310600,-170700,-,
05/09/2024,12523613,12523613,1900,2100,1700,3302,6.0,23,1900,1800,1900,1800,100,1848,1800,-100.0,-5.26,2321,12505,52398.0,246798.0,3302.0,6.0,24,20,4,55700,250100,-194400,-,
