Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,43800000,43800000,8200,9400,7000,7300,59.0,359,8200,8200,8200,8100,100,8122,8200,,,1647,2096,20700.0,43000.0,7300.0,59.0,17,24,-7,28000,50300,-22300,-,
26/09/2024,43800000,43800000,8200,9400,7000,5000,41.0,359,8200,8200,8200,8000,200,8174,8200,,,1474,2300,40700.0,50200.0,5000.0,41.0,31,24,7,45700,55200,-9500,-,
25/09/2024,43800000,43800000,8200,9400,7000,6000,49.0,359,8800,8200,8800,8200,600,8232,8200,,,1437,1794,32800.0,49600.0,6000.0,49.0,27,31,-4,38800,55600,-16800,-,
24/09/2024,43800000,43800000,8100,9300,6900,77406,633.0,377,8100,8600,9100,8100,1000,8178,8600,500.0,6.17,1718,3232,18794.0,55094.0,77406.0,633.0,56,41,15,96200,132500,-36300,-,
23/09/2024,43800000,43800000,8100,9300,6900,2200,18.0,355,8000,8100,8100,8000,100,8095,8100,,,831,1162,8600.0,12900.0,2200.0,18.0,13,13,-,10800,15100,-4300,-,
20/09/2024,43800000,43800000,8000,9200,6800,13500,110.0,355,8200,8100,8200,8100,100,8132,8100,100.0,1.25,1273,1467,14500.0,17300.0,13500.0,110.0,22,21,1,28000,30800,-2800,-,
19/09/2024,43800000,43800000,8100,9300,6900,3000,24.0,350,8000,8000,8000,8000,-,8000,8000,-100.0,-1.23,1189,2413,7700.0,16300.0,3000.0,24.0,9,8,1,10700,19300,-8600,-,
18/09/2024,43800000,43800000,8100,9300,6900,1400,11.0,355,8100,8100,8100,8100,-,8100,8100,,,1347,942,21500.0,9900.0,1400.0,11.0,17,12,5,22900,11300,11600,-,
17/09/2024,43800000,43800000,8100,9300,6900,-,,355,8100,8100,8100,8100,-,8100,8100,,,1509,1200,16600.0,12000.0,,,11,10,1,16600,12000,4600,-,
