Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,100,500,100.0,500.0,,,1.0,1.0,-,100.0,500.0,-400,-,
26/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
25/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
24/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
23/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
20/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,600,500,1200.0,500.0,,,2.0,1.0,1,1200.0,500.0,700,-,
19/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
18/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
17/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
16/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
13/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,200,500,200.0,500.0,,,1.0,1.0,-,200.0,500.0,-300,-,
12/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
11/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
10/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
09/09/2024,9007500,9007500,1300,1400,1200,-,,12,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
06/09/2024,9007500,9007500,1300,1400,1200,100,0.0,12,1300,1300,1300,1300,-,1300,1300,,,250,300,400.0,500.0,100.0,0.0,2.0,2.0,-,500.0,600.0,-100,-,
