Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,34000000,33801062,106900,122900,90900,324,36.0,3718,110000,110000,110000,110000,-,110000,110000,3100.0,2.9,650,563,976.0,4176.0,324.0,36.0,2.0,8.0,-6,1300.0,4500.0,-3200,-,
26/09/2024,34000000,33801062,104400,120000,88800,2100,224.0,3718,104400,110000,110000,104400,5600,106857,110000,5600.0,5.36,313,560,400.0,700.0,2100.0,224.0,8.0,5.0,3,2500.0,2800.0,-300,-,
25/09/2024,34000000,33801062,121100,139200,103000,2700,282.0,4093,103100,121100,121100,103100,18000,104448,121100,,,445,420,2200.0,1500.0,2700.0,282.0,11.0,10.0,1,4900.0,4200.0,700,-,
24/09/2024,34000000,33801062,121100,139200,103000,-,,4093,121100,121100,121100,121100,-,121100,121100,,,1000,275,1000.0,1100.0,,,1.0,4.0,-3,1000.0,1100.0,-100,-,
23/09/2024,34000000,33801062,121100,139200,103000,23,2.0,4093,121100,110000,121100,121100,-,121100,121100,-11100.0,-9.17,100,200,77.0,377.0,23.0,2.0,1.0,2.0,-1,100.0,400.0,-300,-,
20/09/2024,34000000,33801062,107200,123200,91200,3715,450.0,3718,123000,110000,123000,92100,30900,121111,110000,2800.0,2.61,469,717,2385.0,585.0,3715.0,450.0,13.0,6.0,7,6100.0,4300.0,1800,-,
19/09/2024,34000000,33801062,107200,123200,91200,10,1.0,3623,107200,86800,107200,107200,-,107200,107200,-20400.0,-19.03,800,700,2390.0,2790.0,10.0,1.0,3.0,4.0,-1,2400.0,2800.0,-400,-,
18/09/2024,34000000,33801062,107200,123200,91200,34,3.0,3623,107200,86800,107200,107200,-,107200,107200,-20400.0,-19.03,675,425,2666.0,1666.0,34.0,3.0,4.0,4.0,-,2700.0,1700.0,1000,-,
17/09/2024,34000000,33801062,100900,116000,85800,1722,185.0,2934,110000,86800,110000,86100,23900,107229,86800,-14100.0,-13.97,229,440,1478.0,478.0,1722.0,185.0,14.0,5.0,9,3200.0,2200.0,1000,-,
