Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,500000000,500000000,14200,16300,12100,1556888,21922,7000,14000,14000,14300,13900,400,14080,14000,-200.0,-1.41,1984,3613,756612,1907712.0,1556888,21922,1166,959,207,2313500,3464600,-1151100,-,
26/09/2024,500000000,500000000,14100,16200,12000,1418505,20192,7100,14100,14200,14400,14000,400,14235,14200,100.0,0.71,2278,2551,818595,1944095.0,1418505,20192,982,1318,-336,2237100,3362600,-1125500,-,
25/09/2024,500000000,500000000,14100,16200,12000,1161142,16403,7100,14200,14200,14300,14000,300,14127,14200,100.0,0.71,2029,3467,870058,1865758.0,1161142,16403,1001,873,128,2031200,3026900,-995700,-,
24/09/2024,500000000,500000000,14100,16200,12000,593139,8345,7100,14000,14200,14200,13900,300,14070,14200,100.0,0.71,2131,3351,943161,1484461.0,593139,8345,721,620,101,1536300,2077600,-541300,-,
23/09/2024,500000000,500000000,14500,16600,12400,867853,12249,7000,14300,14000,14500,14000,500,14114,14000,-500.0,-3.45,1878,3278,698647,1560847.0,867853,12249,834,741,93,1566500,2428700,-862200,-,
20/09/2024,500000000,500000000,14400,16500,12300,846263,12229,7150,14500,14300,14800,14200,600,14450,14300,-100.0,-0.69,1774,2633,649437,2389237.0,846263,12229,843,1229,-386,1495700,3235500,-1739800,-,
19/09/2024,500000000,500000000,14100,16200,12000,1083173,15544,7250,14100,14500,14500,14100,400,14351,14500,400.0,2.84,2832,2479,845727,1609327.0,1083173,15544,681,1086,-405,1928900,2692500,-763600,-,
18/09/2024,500000000,500000000,13900,15900,11900,984664,13913,7100,14100,14200,14300,14000,300,14130,14200,300.0,2.16,2456,2369,763736,1294136.0,984664,13913,712,962,-250,1748400,2278800,-530400,-,
17/09/2024,500000000,500000000,13900,15900,11900,678217,9430,7050,13900,14100,14100,13700,400,13903,14100,200.0,1.44,2142,2524,992383,679783.0,678217,9430,780,538,242,1670600,1358000,312600,-,
16/09/2024,500000000,500000000,13900,15900,11900,863680,12012,6900,14000,13800,14100,13700,400,13908,13800,-100.0,-0.72,2244,2796,399420,981420.0,863680,12012,563,660,-97,1263100,1845100,-582000,-,
13/09/2024,500000000,500000000,13900,15900,11900,673361,9374,7000,13900,14000,14000,13800,200,13921,14000,100.0,0.72,2897,2884,798539,933039.0,673361,9374,508,557,-49,1471900,1606400,-134500,-,
12/09/2024,500000000,500000000,13800,15800,11800,526081,7323,6900,13800,13800,14100,13800,300,13919,13800,,,2186,2744,836019,1093019.0,526081,7323,623,590,33,1362100,1619100,-257000,-,
11/09/2024,500000000,500000000,14100,16200,12000,1327072,18313,6900,14200,13800,14200,13600,600,13800,13800,-300.0,-2.13,2057,3590,1268728,1038728.0,1327072,18313,1262,659,603,2595800,2365800,230000,-,
10/09/2024,500000000,500000000,14300,16400,12200,1330316,18723,7000,14200,14000,14500,13900,600,14074,14000,-300.0,-2.1,1982,3576,999984,1466384.0,1330316,18723,1176,782,394,2330300,2796700,-466400,-,
09/09/2024,500000000,500000000,14300,16400,12200,504666,7212,7150,14500,14300,14500,14200,300,14291,14300,,,1930,2524,759434,971734.0,504666,7212,655,585,70,1264100,1476400,-212300,-,
06/09/2024,500000000,500000000,14500,16600,12400,1053955,15067,7250,14300,14500,14500,14100,400,14296,14500,,,2287,2808,1360945,1107945.0,1053955,15067,1056,770,286,2414900,2161900,253000,-,
05/09/2024,500000000,500000000,14400,16500,12300,1080385,15615,7150,14400,14300,14700,14300,400,14454,14300,-100.0,-0.69,2032,2689,697515,1221015.0,1080385,15615,875,856,19,1777900,2301400,-523500,-,
04/09/2024,500000000,500000000,14700,16900,12500,1288480,18613,7250,14800,14500,14800,14300,500,14446,14500,-200.0,-1.36,1640,3407,931820,1263420.0,1288480,18613,1354,749,605,2220300,2551900,-331600,-,
30/08/2024,500000000,500000000,14800,17000,12600,1037885,15302,7400,14800,14800,15000,14600,400,14745,14800,,,1821,2767,1047915,1384515.0,1027885,15156,1140,872,268,2075800,2412400,-336600,10000,146.0
29/08/2024,500000000,500000000,14900,17100,12700,798013,11822,7400,14900,14800,15000,14700,300,14814,14800,-100.0,-0.67,1705,2815,934687,1538087.0,798013,11822,1016,830,186,1732700,2336100,-603400,-,
28/08/2024,500000000,500000000,15000,17200,12800,1225899,18282,7450,15000,14900,15200,14700,500,14913,14900,-100.0,-0.67,1829,2859,822901,1613101.0,1225899,18282,1120,993,127,2048800,2839000,-790200,-,
27/08/2024,500000000,500000000,15200,17400,13000,1563156,23406,7550,15200,15100,15200,14800,400,14974,15100,-100.0,-0.66,1835,3017,1414844,1429444.0,1563156,23406,1623,992,631,2978000,2992600,-14600,-,
