Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,350000000,350000000,17800,19500,16100,3000,51.0,6195,17900,17700,17900,16700,1200,16845,17700,-100.0,-0.56,324,450,3800.0,9600.0,3000.0,51.0,21,28.0,-7,6800,12600.0,-5800,-,
26/09/2024,350000000,350000000,17900,19600,16200,389,7.0,6230,16600,17800,17800,16600,1200,17067,17800,-100.0,-0.56,507,480,7211.0,9211.0,389.0,7.0,15,20.0,-5,7600,9600.0,-2000,-,
25/09/2024,350000000,350000000,17800,19500,16100,1100,19.0,6265,17400,17900,17900,17400,500,17445,17900,100.0,0.56,733,467,3300.0,10100.0,1100.0,19.0,6,24.0,-18,4400,11200.0,-6800,-,
24/09/2024,350000000,350000000,17200,18900,15500,300,5.0,6230,16600,17800,17800,16600,1200,17000,17800,600.0,3.49,764,285,10400.0,5400.0,300.0,5.0,14,20.0,-6,10700,5700.0,5000,-,
23/09/2024,350000000,350000000,17400,19100,15700,100,2.0,6020,17200,17200,17200,17200,-,17200,17200,-200.0,-1.15,263,347,2000.0,5100.0,100.0,2.0,8,15.0,-7,2100,5200.0,-3100,-,
20/09/2024,350000000,350000000,17500,19200,15800,200,3.0,6090,16600,17400,17400,16600,800,16600,17400,-100.0,-0.57,608,294,7700.0,4800.0,200.0,3.0,13,17.0,-4,7900,5000.0,2900,-,
19/09/2024,350000000,350000000,17500,19200,15800,-,,6125,17500,17500,17500,17500,-,17500,17500,,,664,453,9300.0,7700.0,,,14,17.0,-3,9300,7700.0,1600,-,
18/09/2024,350000000,350000000,17700,19400,16000,2100,34.0,6125,16700,17500,17500,16100,1400,16310,17500,-200.0,-1.13,577,517,5400.0,7200.0,2100.0,34.0,13,18.0,-5,7500,9300.0,-1800,-,
17/09/2024,350000000,350000000,17000,18700,15300,100,2.0,6195,17700,17700,17700,17700,-,17700,17700,700.0,4.12,600,136,8300.0,1400.0,100.0,2.0,14,11.0,3,8400,1500.0,6900,-,
16/09/2024,350000000,350000000,15500,17000,14000,300,5.0,5950,15600,17000,17000,15600,1400,16067,17000,1500.0,9.68,543,140,12200.0,400.0,300.0,5.0,23,5.0,18,12500,700.0,11800,-,
13/09/2024,350000000,350000000,17100,18800,15400,4207,66.0,5425,17100,15500,17100,15500,1600,17100,15500,-1600.0,-9.36,385,421,793.0,1693.0,4207.0,66.0,13,14.0,-1,5000,5900.0,-900,-,
12/09/2024,350000000,350000000,17200,18900,15500,900,15.0,5985,17100,17100,17100,17100,-,17100,17100,-100.0,-0.58,414,283,4900.0,2500.0,900.0,15.0,14,12.0,2,5800,3400.0,2400,-,
11/09/2024,350000000,350000000,16500,18100,14900,1100,19.0,6020,16500,17200,17300,16500,800,16918,17200,700.0,4.24,529,445,7900.0,3800.0,1100.0,19.0,17,11.0,6,9000,4900.0,4100,-,
10/09/2024,350000000,350000000,17500,19200,15800,7840,135.0,5775,17500,16500,17500,16500,1000,17154,16500,-1000.0,-5.71,967,1227,12460.0,10560.0,7840.0,135.0,21,15.0,6,20300,18400.0,1900,-,
09/09/2024,350000000,350000000,17800,19500,16100,11800,203.0,6125,17000,17500,17500,17000,500,17182,17500,-300.0,-1.69,1500,1450,1700.0,5600.0,11800.0,203.0,9,12.0,-3,13500,17400.0,-3900,-,
06/09/2024,350000000,350000000,17500,19200,15800,8303,141.0,6230,17400,17800,17800,17000,800,17015,17800,300.0,1.71,806,1009,4597.0,2797.0,8303.0,141.0,16,11.0,5,12900,11100.0,1800,-,
05/09/2024,350000000,350000000,17900,19600,16200,9800,171.0,6125,17500,17500,17500,17400,100,17459,17500,-400.0,-2.23,1050,1275,4900.0,10600.0,9800.0,171.0,14,16.0,-2,14700,20400.0,-5700,-,
04/09/2024,350000000,350000000,18000,19800,16200,12800,213.0,6265,16600,17900,17900,16600,1300,16643,17900,-100.0,-0.56,1165,1508,7000.0,5300.0,12800.0,213.0,17,12.0,5,19800,18100.0,1700,-,
30/08/2024,350000000,350000000,18000,19800,16200,300,5.0,6300,18000,18000,18000,18000,-,18000,18000,,,608,208,7600.0,2200.0,300.0,5.0,13,12.0,1,7900,2500.0,5400,-,
29/08/2024,350000000,350000000,17700,19400,16000,5000,88.0,6300,17500,18000,18000,17500,500,17508,18000,300.0,1.69,600,922,8200.0,3300.0,5000.0,88.0,22,9.0,13,13200,8300.0,4900,-,
28/08/2024,350000000,350000000,17900,19600,16200,4700,82.0,6195,17000,17700,17700,17000,700,17455,17700,-200.0,-1.12,475,573,4800.0,3900.0,4700.0,82.0,20,15.0,5,9500,8600.0,900,-,
27/08/2024,350000000,350000000,18100,19900,16300,4900,88.0,6265,17900,17900,17900,17900,-,17900,17900,-200.0,-1.1,1017,808,7300.0,5600.0,4900.0,88.0,12,13.0,-1,12200,10500.0,1700,-,
26/08/2024,350000000,350000000,16800,18400,15200,100,2.0,6335,18100,18100,18100,18100,-,18100,18100,1300.0,7.74,211,454,7300.0,5800.0,100.0,2.0,35,13.0,22,7400,5900.0,1500,-,
23/08/2024,350000000,350000000,17500,19200,15800,5800,98.0,5880,17000,16800,17000,16800,200,16835,16800,-700.0,-4.0,628,725,12400.0,2900.0,5800.0,98.0,29,12.0,17,18200,8700.0,9500,-,
22/08/2024,350000000,350000000,17900,19600,16200,5800,102.0,6125,17700,17500,17800,17400,400,17640,17500,-400.0,-2.23,460,496,8000.0,5600.0,5800.0,102.0,30,23.0,7,13800,11400.0,2400,-,
21/08/2024,350000000,350000000,18200,20000,16400,1200,21.0,6265,17400,17900,17900,17400,500,17567,17900,-300.0,-1.65,278,363,5200.0,7500.0,1200.0,21.0,23,24.0,-1,6400,8700.0,-2300,-,
20/08/2024,350000000,350000000,18100,19900,16300,4601,83.0,6370,18000,18200,18200,18000,200,18004,18200,100.0,0.55,921,1092,8299.0,9599.0,4601.0,83.0,14,13.0,1,12900,14200.0,-1300,-,
19/08/2024,350000000,350000000,18200,20000,16400,800,15.0,6335,18200,18100,18200,18100,100,18200,18100,-100.0,-0.55,500,208,4700.0,1900.0,800.0,15.0,11,13.0,-2,5500,2700.0,2800,-,
16/08/2024,350000000,350000000,18400,20200,16600,1400,25.0,6370,18300,18200,18300,17000,1300,18200,18200,-200.0,-1.09,712,417,10700.0,3600.0,1400.0,25.0,17,12.0,5,12100,5000.0,7100,-,
15/08/2024,350000000,350000000,18200,20000,16400,11000,199.0,6440,17900,18400,18400,17900,500,18111,18400,200.0,1.1,695,547,4300.0,5400.0,11000.0,199.0,22,30.0,-8,15300,16400.0,-1100,-,
14/08/2024,350000000,350000000,17000,18700,15300,2300,41.0,6370,17000,18200,18300,17000,1300,17832,18200,1200.0,7.06,418,210,6900.0,1900.0,2300.0,41.0,22,20.0,2,9200,4200.0,5000,-,
13/08/2024,350000000,350000000,17300,19000,15600,700,12.0,5950,17300,17000,17300,16900,400,17071,17000,-300.0,-1.73,329,333,6200.0,4300.0,700.0,12.0,21,15.0,6,6900,5000.0,1900,-,
12/08/2024,350000000,350000000,17300,19000,15600,400,7.0,6055,17300,17300,17300,17300,-,17300,17300,,,724,523,17700.0,6400.0,400.0,7.0,25,13.0,12,18100,6800.0,11300,-,
09/08/2024,350000000,350000000,16500,18100,14900,2600,42.0,6055,16300,17300,17300,16300,1000,16300,17300,800.0,4.85,476,1050,7400.0,5800.0,2600.0,42.0,21,8.0,13,10000,8400.0,1600,-,
08/08/2024,350000000,350000000,16400,18000,14800,10800,178.0,5775,16500,16500,16600,16400,200,16475,16500,100.0,0.61,469,1850,4200.0,7700.0,10800.0,178.0,32,10.0,22,15000,18500.0,-3500,-,
07/08/2024,350000000,350000000,16700,18300,15100,14500,248.0,5740,17100,16400,17700,16400,1300,17107,16400,-300.0,-1.8,794,692,10900.0,10400.0,14500.0,248.0,32,36.0,-4,25400,24900.0,500,-,
