Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,58018600,58018600,9000,12600,5400,-,,522,9000,9000,9000,9000,-,9000,9000,,,-,-,,,,,,,-,,,-,-,
26/09/2024,58018600,58018600,9000,12600,5400,-,,522,9000,9000,9000,9000,-,9000,9000,,,-,-,,,,,,,-,,,-,-,
25/09/2024,58018600,58018600,9000,12600,5400,-,,522,9000,9000,9000,9000,-,9000,9000,,,-,-,,,,,,,-,,,-,-,
24/09/2024,58018600,58018600,9000,12600,5400,-,,522,9000,9000,9000,9000,-,9000,9000,,,-,-,,,,,,,-,,,-,-,
23/09/2024,58018600,58018600,9000,12600,5400,-,,522,9000,9000,9000,9000,-,9000,9000,,,-,-,,,,,,,-,,,-,-,
20/09/2024,58018600,58018600,9000,12600,5400,-,,522,9000,9000,9000,9000,-,9000,9000,,,-,100,,200.0,,,1.0,2.0,-1,,200.0,-200,-,
19/09/2024,58018600,58018600,9000,12600,5400,-,,522,9000,9000,9000,9000,-,9000,9000,,,-,-,,,,,,,-,,,-,-,
18/09/2024,58018600,58018600,9000,12600,5400,-,,522,9000,9000,9000,9000,-,9000,9000,,,1000,550,1000.0,1100.0,,,1.0,2.0,-1,1000.0,1100.0,-100,-,
17/09/2024,58018600,58018600,9000,12600,5400,-,,522,9000,9000,9000,9000,-,9000,9000,,,-,-,,,,,1.0,,1,,,-,-,
16/09/2024,58018600,58018600,9000,12600,5400,-,,522,9000,9000,9000,9000,-,9000,9000,,,100,100,200.0,100.0,,,2.0,1.0,1,200.0,100.0,100,-,
13/09/2024,58018600,58018600,9000,12600,5400,-,,522,9000,9000,9000,9000,-,9000,9000,,,67,1000,200.0,1000.0,,,3.0,1.0,2,200.0,1000.0,-800,-,
12/09/2024,58018600,58018600,9000,10300,7700,-,,522,9000,9000,9000,9000,-,9000,9000,,,-,-,,,,,1.0,,1,,,-,-,
