Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,669444725,1458513173,11950,12750,11150,23206000,278359,17356,12000,11900,12150,11850,300,11995,11900,-50.0,-0.42,6112,5623,1763500.0,2356300.0,23206000,278359,7376.0,10122.0,-2746,45084300.0,56911100.0,-11826800,-,
26/09/2024,669444725,1458513173,12000,12800,11200,19920300,238635,17429,12050,11950,12100,11900,200,11988,12000,-50.0,-0.42,4446,5194,1421200.0,3229600.0,19666300,235765,7783.0,10463.0,-2680,34600400.0,54349100.0,-19748700,254000,2870.0
25/09/2024,669444725,1458513173,11400,12150,10650,39869600,469836,17502,11450,12000,12000,11450,550,11784,12000,600.0,5.26,7484,4819,1438100.0,2891600.0,39869600,469836,9978.0,14758.0,-4780,74679100.0,71126000.0,3553100,-,
24/09/2024,669444725,1458513173,11350,12100,10600,8092800,92021,16627,11400,11400,11450,11300,150,11372,11400,50.0,0.44,3750,5105,2091700.0,2103600.0,7783800,88516,4446.0,3837.0,609,16673800.0,19588800.0,-2915000,309000,3505.0
23/09/2024,669444725,1458513173,11250,12000,10500,12292300,141115,16554,11400,11350,11450,11300,150,11377,11400,100.0,0.89,6018,4215,1780000.0,2338500.0,9292300,105715,4720.0,4987.0,-267,28406100.0,21020900.0,7385200,3000000,35400.0
20/09/2024,669444725,1458513173,11400,12150,10650,34838200,395178,16408,11500,11250,11600,11250,350,11343,11300,-150.0,-1.32,8171,7397,7878700.0,401900.0,34788200,394598,8811.0,7835.0,976,71995500.0,57952100.0,14043400,50000,580.0
19/09/2024,669444725,669444725,11350,12100,10600,8365000,95340,7632,11450,11400,11500,11300,200,11397,11400,50.0,0.44,4153,4653,1427800.0,1863200.0,8365000,95340,4027.0,5280.0,-1253,16722800.0,24566400.0,-7843600,-,
18/09/2024,669444725,669444725,11300,12050,10550,15629400,178527,7598,11350,11350,11600,11300,300,11429,11400,50.0,0.44,5126,5809,1416600.0,1346000.0,15519400,177366,5593.0,6894.0,-1301,28672100.0,40047200.0,-11375100,110000,1161.0
17/09/2024,669444725,669444725,11050,11800,10300,24594900,283296,7565,11050,11300,11300,11050,250,11160,11300,250.0,2.26,3972,6405,636100.0,1366900.0,10040600,112055,5548.0,3838.0,1710,22036100.0,24580500.0,-2544400,14554300,171241.0
16/09/2024,669444725,669444725,11300,12050,10550,44223800,502990,7397,11400,11050,11400,11050,350,11204,11100,-250.0,-2.21,3499,7084,2030200.0,666800.0,12148800,136120,6477.0,4106.0,2371,22665600.0,29088100.0,-6422500,32075000,366870.0
13/09/2024,669444725,669444725,11250,12000,10500,13841900,155567,7565,11400,11300,11500,11250,250,11364,11300,50.0,0.44,5741,5348,3325900.0,674300.0,11841900,134567,5332.0,4379.0,953,30611300.0,23418500.0,7192800,2000000,21000.0
12/09/2024,669444725,669444725,11300,12050,10550,8321600,94552,7531,11500,11250,11550,11250,300,11376,11300,-50.0,-0.44,4976,5151,2667400.0,341100.0,8021600,91252,3911.0,3684.0,227,19461300.0,18977600.0,483700,300000,3300.0
11/09/2024,669444725,669444725,11350,12100,10600,14810100,167746,7565,11350,11300,11500,11150,350,11326,11300,-50.0,-0.44,4575,6389,1444500.0,338400.0,14810100,167746,7479.0,4221.0,3258,34215500.0,26969500.0,7246000,-,
