Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,20000000,19279000,900,1000,800,154207,154.0,19,1000,1000,1000,1000,-,1000,1000,100.0,11.11,7893,11014,390393.0,,154207.0,154.0,69.0,14.0,55,544600.0,154200.0,390400,-,
26/09/2024,20000000,19279000,900,1000,800,-,,17,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
25/09/2024,20000000,19279000,900,1000,800,-,,17,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
24/09/2024,20000000,19279000,900,1000,800,-,,17,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
23/09/2024,20000000,19279000,900,1000,800,-,,17,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
20/09/2024,20000000,19279000,900,1000,800,601232,559.0,19,900,1000,1000,900,100,930,1000,100.0,11.11,7652,10547,240468.0,,601232.0,559.0,110.0,57.0,53,841700.0,601200.0,240500,-,
19/09/2024,20000000,19279000,900,1000,800,-,,17,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
18/09/2024,20000000,19279000,900,1000,800,-,,17,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
17/09/2024,20000000,19279000,900,1000,800,-,,17,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
16/09/2024,20000000,19279000,900,1000,800,-,,17,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
13/09/2024,20000000,19279000,900,1000,800,47700,43.0,17,900,900,1000,900,100,902,900,,,4378,4939,114300.0,115300.0,47700.0,43.0,37.0,33.0,4,162000.0,163000.0,-1000,-,
12/09/2024,20000000,19279000,900,1000,800,-,,17,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
11/09/2024,20000000,19279000,900,1000,800,-,,17,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
10/09/2024,20000000,19279000,900,1000,800,-,,17,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
09/09/2024,20000000,19279000,900,1000,800,-,,17,900,900,900,900,-,900,900,,,-,-,,,,,,,-,,,-,-,
06/09/2024,20000000,19279000,1000,1100,900,37719,35.0,17,1000,900,1000,900,100,927,900,-100.0,-10.0,6413,6641,167481.0,221281.0,37719.0,35.0,32.0,39.0,-7,205200.0,259000.0,-53800,-,
