Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,212491611,212491611,18300,21000,15600,229865,4195,3867,18500,18200,18500,18100,400,18250,18200,-100.0,-0.55,1288,2248,142235,262435,229865,4195,289,219,70,372100,492300,-120200,-,
26/09/2024,212491611,212491611,18300,21000,15600,3196327,51599,3889,18200,18300,18500,18200,300,18331,18300,,,1467,1970,192404,203704,196296,3598,265,203,62,388700,400000,-11300,3000031,48000.0
25/09/2024,212491611,212491611,18400,21100,15700,189281,3472,3889,18700,18300,18700,18200,500,18342,18300,-100.0,-0.54,939,2256,114019,291319,189281,3472,323,213,110,303300,480600,-177300,-,
24/09/2024,212491611,212491611,18700,21500,15900,225963,4164,3910,18600,18400,18600,18300,300,18429,18400,-300.0,-1.6,1022,2352,125537,263237,225963,4164,344,208,136,351500,489200,-137700,-,
23/09/2024,212491611,212491611,19000,21800,16200,800392,15175,3952,19000,18600,19000,18600,400,18721,18600,-400.0,-2.11,1275,2464,76883,459683,116917,2189,152,234,-82,193800,576600,-382800,683475,12986.0
20/09/2024,212491611,212491611,18800,21600,16000,205193,3897,4016,18900,18900,19400,18800,600,18994,18900,100.0,0.53,1788,2118,82607,440807,205193,3897,161,305,-144,287800,646000,-358200,-,
19/09/2024,212491611,212491611,18600,21300,15900,183609,3456,4016,19000,18900,19100,18600,500,18823,18900,300.0,1.61,1774,1622,130391,205691,183609,3456,177,240,-63,314000,389300,-75300,-,
18/09/2024,212491611,212491611,19100,21900,16300,178244,3424,4080,19200,19200,19300,19100,200,19208,18600,100.0,0.52,1477,2564,123156,267856,178244,3424,204,174,30,301400,446100,-144700,-,
17/09/2024,212491611,212491611,19200,22000,16400,205314,3912,4059,19300,19100,19300,18900,400,19051,18500,-100.0,-0.52,1740,2952,175686,213886,205314,3912,219,142,77,381000,419200,-38200,-,
16/09/2024,212491611,212491611,19600,22500,16700,306426,5869,4059,19500,19100,19600,19000,600,19152,18500,-500.0,-2.55,903,3176,75574,376374,306426,5869,423,215,208,382000,682800,-300800,-,
13/09/2024,212491611,212491611,19500,22400,16600,149494,2924,4144,19400,19500,19700,19400,300,19557,18900,,,874,1759,67206,339606,149494,2924,248,278,-30,216700,489100,-272400,-,
12/09/2024,212491611,212491611,19600,22500,16700,176599,3451,4144,19600,19500,19800,19400,400,19540,18900,-100.0,-0.51,1199,1834,87201,287501,176599,3451,220,253,-33,263800,464100,-200300,-,
11/09/2024,212491611,212491611,19900,22800,17000,170664,3339,4165,19900,19600,20000,19400,600,19563,19000,-300.0,-1.51,952,1993,73136,341636,170664,3339,256,257,-1,243800,512300,-268500,-,
10/09/2024,212491611,212491611,19100,21900,16300,601121,11939,4207,19100,19800,20400,19100,1300,19861,19200,700.0,3.66,1425,1729,178579,569579,601121,11939,547,677,-130,779700,1170700,-391000,-,
09/09/2024,212491611,212491611,19100,21900,16300,218257,4164,4101,19200,19300,19300,19000,300,19080,18700,200.0,1.05,1543,2096,147443,110743,218257,4164,237,157,80,365700,329000,36700,-,
06/09/2024,212491611,212491611,19200,22000,16400,142668,2728,4080,19100,19200,19300,19000,300,19122,18600,,,1085,2144,99232,206832,142668,2728,223,163,60,241900,349500,-107600,-,
05/09/2024,212491611,212491611,19200,22000,16400,127025,2441,4059,19200,19100,19500,19000,500,19216,18500,-100.0,-0.52,933,1761,85775,223475,127025,2441,228,199,29,212800,350500,-137700,-,
04/09/2024,212491611,212491611,19600,22500,16700,204905,3940,4101,19500,19300,19500,19000,500,19230,18700,-300.0,-1.53,1136,1521,141595,163095,204905,3940,305,242,63,346500,368000,-21500,-,
30/08/2024,212491611,212491611,20100,23100,17100,214642,4199,4144,20100,19500,20100,19300,800,19561,18900,-600.0,-2.99,1063,1916,105458,433058,214642,4199,301,338,-37,320100,647700,-327600,-,
29/08/2024,212491611,212491611,19600,22500,16700,433635,8720,4186,19700,19700,20400,19700,700,20109,19100,100.0,0.51,1247,1805,71565,762865,433635,8720,405,663,-258,505200,1196500,-691300,-,
28/08/2024,212491611,212491611,18700,21500,15900,739334,14483,4207,19000,19800,19900,19000,900,19590,19200,1100.0,5.88,1662,1579,221066,471566,739334,14483,578,767,-189,960400,1210900,-250500,-,
27/08/2024,212491611,212491611,18900,21700,16100,130328,2443,3995,19000,18800,19100,18700,400,18748,18200,-100.0,-0.53,1008,2570,100572,378572,130328,2443,229,198,31,230900,508900,-278000,-,
26/08/2024,212491611,212491611,18800,21600,16000,168167,3183,4016,18900,18900,19100,18800,300,18931,18300,100.0,0.53,1079,1754,55233,380933,168167,3183,207,313,-106,223400,549100,-325700,-,
23/08/2024,212491611,212491611,18800,21600,16000,159236,2992,3995,18800,18800,19000,18700,300,18788,18200,,,1449,1924,81364,235164,159236,2992,166,205,-39,240600,394400,-153800,-,
22/08/2024,212491611,212491611,18800,21600,16000,146207,2749,4016,18800,18900,19000,18700,300,18799,18300,100.0,0.53,1518,2120,143693,358293,146207,2749,191,238,-47,289900,504500,-214600,-,
21/08/2024,212491611,212491611,18900,21700,16100,188089,3542,4016,18900,18900,19000,18700,300,18832,18300,,,1666,2828,145011,360611,188089,3542,200,194,6,333100,548700,-215600,-,
