Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,28900000,28900000,26700,30700,22700,400,11.0,809,28000,28000,28000,28000,-,28000,28000,1300.0,4.87,157,567,1800.0,1300.0,400.0,11.0,14.0,3.0,11,2200.0,1700.0,500,-,
26/09/2024,28900000,28900000,28000,32200,23800,200,5.0,809,25300,28000,28000,25300,2700,26650,28000,,,170,475,1500.0,1700.0,200.0,5.0,10.0,4.0,6,1700.0,1900.0,-200,-,
25/09/2024,28900000,28900000,26600,30500,22700,502,14.0,809,28000,28000,28000,28000,-,28000,28000,1400.0,5.26,110,575,598.0,1798.0,502.0,14.0,10.0,4.0,6,1100.0,2300.0,-1200,-,
24/09/2024,28900000,28900000,28900,33200,24600,200,5.0,809,25100,28000,28000,25100,2900,26550,28000,-900.0,-3.11,136,200,1300.0,1000.0,200.0,5.0,11.0,6.0,5,1500.0,1200.0,300,-,
23/09/2024,28900000,28900000,26600,30500,22700,300,9.0,881,26100,30500,30500,26100,4400,28867,30500,3900.0,14.66,173,263,1600.0,1800.0,300.0,9.0,11.0,8.0,3,1900.0,2100.0,-200,-,
20/09/2024,28900000,28900000,23200,26600,19800,100,3.0,769,26600,26600,26600,26600,-,26600,26600,3400.0,14.66,157,100,2100.0,100.0,100.0,3.0,14.0,2.0,12,2200.0,200.0,2000,-,
19/09/2024,28900000,28900000,26600,30500,22700,100,2.0,670,23200,23200,23200,23200,-,23200,23200,-3400.0,-12.78,177,250,2200.0,900.0,100.0,2.0,13.0,4.0,9,2300.0,1000.0,1300,-,
18/09/2024,28900000,28900000,25200,28900,21500,300,8.0,827,22500,28600,28600,22500,6100,26567,28600,3400.0,13.49,80,275,500.0,800.0,300.0,8.0,10.0,4.0,6,800.0,1100.0,-300,-,
17/09/2024,28900000,28900000,22000,25300,18700,100,3.0,728,25200,25200,25200,25200,-,25200,25200,3200.0,14.55,86,100,500.0,,100.0,3.0,7.0,1.0,6,600.0,100.0,500,-,
16/09/2024,28900000,28900000,22000,25300,18700,-,,636,22000,22000,22000,22000,-,22000,22000,,,414,100,2900.0,100.0,,,7.0,1.0,6,2900.0,100.0,2800,-,
13/09/2024,28900000,28900000,22000,25300,18700,-,,636,22000,22000,22000,22000,-,22000,22000,,,110,-,1100.0,,,,10.0,,10,1100.0,,1100,-,
12/09/2024,28900000,28900000,25500,29300,21700,100,2.0,636,22000,22000,22000,22000,-,22000,22000,-3500.0,-13.73,438,100,3400.0,100.0,100.0,2.0,8.0,2.0,6,3500.0,200.0,3300,-,
11/09/2024,28900000,28900000,23300,26700,19900,200,5.0,734,25500,25400,25500,25400,100,25450,25400,2100.0,9.01,233,100,1200.0,100.0,200.0,5.0,6.0,3.0,3,1400.0,300.0,1100,-,
10/09/2024,28900000,28900000,23300,26700,19900,-,,673,23300,23300,23300,23300,-,23300,23300,,,350,100,1400.0,200.0,,,4.0,2.0,2,1400.0,200.0,1200,-,
09/09/2024,28900000,28900000,23300,26700,19900,-,,673,23300,23300,23300,23300,-,23300,23300,,,80,100,400.0,200.0,,,5.0,2.0,3,400.0,200.0,200,-,
06/09/2024,28900000,28900000,25000,28700,21300,200,5.0,723,21500,25000,25000,21500,3500,23250,25000,,,71,125,300.0,300.0,200.0,5.0,7.0,4.0,3,500.0,500.0,-,-,
05/09/2024,28900000,28900000,25000,28700,21300,-,,723,25000,25000,25000,25000,-,25000,25000,,,33,533,100.0,1600.0,,,3.0,3.0,-,100.0,1600.0,-1500,-,
04/09/2024,28900000,28900000,24800,28500,21100,100,3.0,723,25000,25000,25000,25000,-,25000,25000,200.0,0.81,75,100,200.0,200.0,100.0,3.0,4.0,3.0,1,300.0,300.0,-,-,
30/08/2024,28900000,28900000,24800,28500,21100,1,0.0,717,24800,25000,24800,24800,-,24800,24800,200.0,0.81,57,100,399.0,299.0,1.0,0.0,7.0,3.0,4,400.0,300.0,100,-,
29/08/2024,28900000,28900000,24800,28500,21100,-,,717,24800,24800,24800,24800,-,24800,24800,,,100,133,400.0,400.0,,,4.0,3.0,1,400.0,400.0,-,-,
28/08/2024,28900000,28900000,26500,30400,22600,200,5.0,723,24500,25000,25000,24500,500,24750,25000,-1500.0,-5.66,157,200,900.0,1000.0,200.0,5.0,7.0,6.0,1,1100.0,1200.0,-100,-,
27/08/2024,28900000,28900000,24700,28400,21000,100,3.0,766,26500,26500,26500,26500,-,26500,26500,1800.0,7.29,100,133,400.0,300.0,100.0,3.0,5.0,3.0,2,500.0,400.0,100,-,
26/08/2024,28900000,28900000,24700,28400,21000,-,,714,24700,24700,24700,24700,-,24700,24700,,,67,250,200.0,500.0,,,3.0,2.0,1,200.0,500.0,-300,-,
23/08/2024,28900000,28900000,24700,28400,21000,-,,714,24700,24700,24700,24700,-,24700,24700,,,200,100,800.0,200.0,,,4.0,2.0,2,800.0,200.0,600,-,
22/08/2024,28900000,28900000,24700,28400,21000,1,0.0,714,24700,24700,24700,24700,-,24700,24700,,,100,250,299.0,499.0,1.0,0.0,3.0,2.0,1,300.0,500.0,-200,-,
21/08/2024,28900000,28900000,24700,28400,21000,14,0.0,714,24700,24700,24700,24700,-,24700,24700,,,175,167,686.0,486.0,14.0,0.0,4.0,3.0,1,700.0,500.0,200,-,
20/08/2024,28900000,28900000,24700,28400,21000,-,,714,24700,24700,24700,24700,-,24700,24700,,,211,200,1900.0,600.0,,,9.0,3.0,6,1900.0,600.0,1300,-,
19/08/2024,28900000,28900000,24700,28400,21000,100,2.0,714,24700,24700,24700,24700,-,24700,24700,,,189,280,1600.0,1300.0,100.0,2.0,9.0,5.0,4,1700.0,1400.0,300,-,
16/08/2024,28900000,28900000,24700,28400,21000,-,,714,24700,24700,24700,24700,-,24700,24700,,,125,650,1000.0,2600.0,,,8.0,4.0,4,1000.0,2600.0,-1600,-,
15/08/2024,28900000,28900000,24700,28400,21000,-,,714,24700,24700,24700,24700,-,24700,24700,,,67,150,200.0,600.0,,,3.0,4.0,-1,200.0,600.0,-400,-,
14/08/2024,28900000,28900000,24700,28400,21000,-,,714,24700,24700,24700,24700,-,24700,24700,,,575,367,2300.0,1100.0,,,4.0,3.0,1,2300.0,1100.0,1200,-,
13/08/2024,28900000,28900000,24700,28400,21000,-,,714,24700,24700,24700,24700,-,24700,24700,,,367,167,1100.0,500.0,,,3.0,3.0,-,1100.0,500.0,600,-,
12/08/2024,28900000,28900000,24700,28400,21000,14,0.0,714,24700,24700,24700,24700,-,24700,24700,,,150,217,286.0,1286.0,14.0,0.0,2.0,6.0,-4,300.0,1300.0,-1000,-,
