Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,544,-,4900,,,,9,,9,4900,,4900,-,
26/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,544,-,4900,,,,9,,9,4900,,4900,-,
25/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,600,-,4800,,,,8,,8,4800,,4800,-,
24/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,600,-,4800,,,,8,,8,4800,,4800,-,
23/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,756,-,6800,,,,9,,9,6800,,6800,-,
20/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,756,-,6800,,,,9,,9,6800,,6800,-,
19/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,825,-,6600,,,,8,,8,6600,,6600,-,
18/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,756,-,6800,,,,9,,9,6800,,6800,-,
17/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,770,-,7700,,,,10,,10,7700,,7700,-,
16/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,756,-,6800,,,,9,,9,6800,,6800,-,
13/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,690,-,6900,,,,10,,10,6900,,6900,-,
12/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,756,-,6800,,,,9,,9,6800,,6800,-,
11/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,756,-,6800,,,,9,,9,6800,,6800,-,
10/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,838,-,6700,,,,8,,8,6700,,6700,-,
09/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,756,-,6800,,,,9,,9,6800,,6800,-,
06/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,700,-,7000,,,,10,,10,7000,,7000,-,
05/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,756,-,6800,,,,9,,9,6800,,6800,-,
04/09/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,680,-,6800,,,,10,,10,6800,,6800,-,
30/08/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,680,-,6800,,,,10,,10,6800,,6800,-,
29/08/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,680,-,6800,,,,10,,10,6800,,6800,-,
28/08/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,569,-,7400,,,,13,,13,7400,,7400,-,
27/08/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,756,-,6800,,,,9,,9,6800,,6800,-,
26/08/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,690,-,6900,,,,10,,10,6900,,6900,-,
23/08/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,690,-,6900,,,,10,,10,6900,,6900,-,
22/08/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,756,-,6800,,,,9,,9,6800,,6800,-,
21/08/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,756,-,6800,,,,9,,9,6800,,6800,-,
20/08/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,690,-,6900,,,,10,,10,6900,,6900,-,
19/08/2024,2700000,2700000,3600,5000,2200,-,,10,3600,3600,3600,3600,-,3600,3600,,,710,-,7100,,,,10,,10,7100,,7100,-,
