Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,9000000,8999998,18300,20100,16500,304,6.0,181,20100,20100,20100,20100,-,20100,20100,1800.0,9.84,727,100,10596.0,,304.0,6.0,15.0,3.0,12,10900.0,300.0,10600,-,
26/09/2024,9000000,8999998,19400,21300,17500,400,7.0,165,18300,18300,19000,18300,700,18650,18300,-1100.0,-5.67,444,375,7600.0,2600.0,400.0,7.0,18.0,8.0,10,8000.0,3000.0,5000,-,
25/09/2024,9000000,8999998,17700,19400,16000,405,8.0,175,19400,19400,19400,16700,2700,18725,19400,1700.0,9.6,523,100,15795.0,,405.0,8.0,31.0,4.0,27,16200.0,400.0,15800,-,
24/09/2024,9000000,8999998,19200,21100,17300,100,2.0,159,17700,17700,17700,17700,-,17700,17700,-1500.0,-7.81,541,625,9100.0,2400.0,100.0,2.0,17.0,4.0,13,9200.0,2500.0,6700,-,
23/09/2024,9000000,8999998,20400,22400,18400,100,2.0,173,19200,19200,19200,19200,-,19200,19200,-1200.0,-5.88,509,520,5500.0,2500.0,100.0,2.0,11.0,5.0,6,5600.0,2600.0,3000,-,
20/09/2024,9000000,8999998,19900,21800,18000,900,18.0,184,20200,20400,20400,20200,200,20356,20400,500.0,2.51,636,775,6100.0,2200.0,900.0,18.0,11.0,4.0,7,7000.0,3100.0,3900,-,
19/09/2024,9000000,8999998,22000,24200,19800,100,2.0,179,19900,19900,19900,19900,-,19900,19900,-2100.0,-9.55,611,371,5400.0,2500.0,100.0,2.0,9.0,7.0,2,5500.0,2600.0,2900,-,
18/09/2024,9000000,8999998,24400,26800,22000,800,18.0,198,23700,22000,23700,22000,1700,22400,22000,-2400.0,-9.84,200,640,,8800.0,800.0,18.0,4.0,15.0,-11,800.0,9600.0,-8800,-,
17/09/2024,9000000,8999998,24400,26800,22000,-,,220,24400,24400,24400,24400,-,24400,24400,,,-,1044,,9400.0,,,,9.0,-9,,9400.0,-9400,-,
16/09/2024,9000000,8999998,24400,26800,22000,-,,220,24400,24400,24400,24400,-,24400,24400,,,-,789,,7100.0,,,,9.0,-9,,7100.0,-7100,-,
