Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,33999960,33999960,23400,26900,19900,104113,2519.0,847,22400,24900,25000,22300,2700,24199,24900,1500.0,6.41,3004,929,127187,115187.0,104113.0,2519.0,77,236,-159,231300,219300,12000,-,
26/09/2024,33999960,33999960,23700,27200,20200,49383,1158.0,792,24000,23300,26000,22600,3400,23448,23300,-400.0,-1.69,1129,1348,64617,187817.0,49383.0,1158.0,101,176,-75,114000,237200,-123200,-,
25/09/2024,33999960,33999960,23400,26900,19900,36360,860.0,785,24000,23100,24500,22800,1700,23672,23100,-300.0,-1.28,1418,1549,27440,208340.0,36360.0,860.0,45,158,-113,63800,244700,-180900,-,
24/09/2024,33999960,33999960,22500,25800,19200,472143,9835.0,809,23000,23800,23900,22500,1400,23428,23800,1300.0,5.78,7110,1722,429357,143257.0,182143.0,4267.0,86,189,-103,611500,325400,286100,290000,5568.0
23/09/2024,33999960,33999960,21300,24400,18200,254384,5724.0,806,21400,23700,23800,21000,2800,22503,23700,2400.0,11.27,2144,1284,13616,89816.0,254384.0,5724.0,125,268,-143,268000,344200,-76200,-,
20/09/2024,33999960,33999960,20900,24000,17800,83037,1768.0,724,21000,21300,21600,21000,600,21294,21300,400.0,1.91,1585,1250,35863,103163.0,83037.0,1768.0,75,149,-74,118900,186200,-67300,-,
19/09/2024,33999960,33999960,19900,22800,17000,5103676,87168.0,714,19900,21000,21300,19900,1400,20912,21000,1100.0,5.53,1329,1175,46524,118324.0,103676.0,2168.0,113,189,-76,150200,222000,-71800,5000000,85000.0
18/09/2024,33999960,33999960,18700,21500,15900,79481,1580.0,680,19000,20000,20000,19000,1000,19881,20000,1300.0,6.95,1874,1020,29219,65419.0,79481.0,1580.0,58,142,-84,108700,144900,-36200,-,
17/09/2024,33999960,33999960,19700,22600,16800,7560,141.0,643,18900,18900,18900,18000,900,18688,18900,-800.0,-4.06,1979,881,49840,42640.0,7560.0,141.0,29,57,-28,57400,50200,7200,-,
16/09/2024,33999960,33999960,19900,22800,17000,2317299,44044.0,666,19900,19600,19900,19400,500,19666,19600,-300.0,-1.51,832,1156,2601,101601.0,23199.0,456.0,31,108,-77,25800,124800,-99000,2294100,43588.0
13/09/2024,33999960,33999960,19100,21900,16300,188240,3737.0,687,19100,20200,20400,18900,1500,19855,20200,1100.0,5.76,4025,1316,214260,72260.0,188240.0,3737.0,100,198,-98,402500,260500,142000,-,
12/09/2024,33999960,33999960,17100,19600,14600,4773986,90711.0,666,17100,19600,19600,17000,2600,19099,19600,2500.0,14.62,6666,921,179774,,53526.0,1022.0,35,58,-23,233300,53400,179900,4720460,89689.0
11/09/2024,33999960,33999960,17100,19600,14600,9224,157.0,581,17100,17100,17300,17000,300,17067,17100,,,669,591,8176,11476.0,9224.0,157.0,26,35,-9,17400,20700,-3300,-,
10/09/2024,33999960,33999960,17200,19700,14700,5215,89.0,581,17300,17100,17300,16900,400,17096,17100,-100.0,-0.58,403,641,9685,16585.0,5215.0,89.0,37,34,3,14900,21800,-6900,-,
09/09/2024,33999960,33999960,17600,20200,15000,17849,308.0,585,17200,17200,17600,17200,400,17233,17200,-400.0,-2.27,709,1122,12651,7951.0,17849.0,308.0,43,23,20,30500,25800,4700,-,
06/09/2024,33999960,33999960,17600,20200,15000,8755,154.0,598,17600,17600,17600,17600,-,17600,17600,,,1216,557,14345,17445.0,8755.0,154.0,19,47,-28,23100,26200,-3100,-,
05/09/2024,33999960,33999960,17500,20100,14900,20123,354.0,595,17500,17500,18200,17500,700,17570,17500,,,976,643,23777,29377.0,20123.0,354.0,45,77,-32,43900,49500,-5600,-,
04/09/2024,33999960,33999960,17600,20200,15000,14749,258.0,598,17300,17600,17600,17300,300,17472,17600,,,1152,761,42851,18751.0,14749.0,258.0,50,44,6,57600,33500,24100,-,
30/08/2024,33999960,33999960,17600,20200,15000,14606,257.0,598,17600,17600,17600,17600,-,17600,17600,,,1825,772,51094,20894.0,14606.0,257.0,36,46,-10,65700,35500,30200,-,
29/08/2024,33999960,33999960,17600,20200,15000,63908,1124.0,595,17600,17500,17700,17500,200,17589,17500,-100.0,-0.57,1399,2029,38192,94392.0,63908.0,1124.0,73,78,-5,102100,158300,-56200,-,
