Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8023071,8023071,1400,1600,1200,59689,84.0,11,1400,1400,1500,1400,100,1401,1400,,,1696,4079,28511.0,136111.0,59689.0,84.0,52.0,48.0,4,88200.0,195800.0,-107600,-,
26/09/2024,8023071,8023071,1400,1600,1200,-,,11,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
25/09/2024,8023071,8023071,1400,1600,1200,-,,11,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
24/09/2024,8023071,8023071,1400,1600,1200,-,,11,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
23/09/2024,8023071,8023071,1400,1600,1200,-,,11,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
20/09/2024,8023071,8023071,1400,1600,1200,41685,59.0,11,1300,1400,1500,1200,300,1406,1400,,,3219,2740,164315.0,128215.0,41685.0,59.0,64.0,62.0,2,206000.0,169900.0,36100,-,
19/09/2024,8023071,8023071,1400,1600,1200,-,,11,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
18/09/2024,8023071,8023071,1400,1600,1200,-,,11,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
17/09/2024,8023071,8023071,1400,1600,1200,-,,11,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
16/09/2024,8023071,8023071,1400,1600,1200,-,,11,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
13/09/2024,8023071,8023071,1600,1800,1400,66200,96.0,12,1600,1500,1600,1400,200,1444,1500,-100.0,-6.25,2560,5307,10600.0,236300.0,66200.0,96.0,30.0,57.0,-27,76800.0,302500.0,-225700,-,
12/09/2024,8023071,8023071,1600,1800,1400,-,,13,1600,1600,1600,1600,-,1600,1600,,,-,-,,,,,,,-,,,-,-,
11/09/2024,8023071,8023071,1600,1800,1400,-,,13,1600,1600,1600,1600,-,1600,1600,,,-,-,,,,,,,-,,,-,-,
10/09/2024,8023071,8023071,1600,1800,1400,-,,13,1600,1600,1600,1600,-,1600,1600,,,-,-,,,,,,,-,,,-,-,
09/09/2024,8023071,8023071,1600,1800,1400,-,,13,1600,1600,1600,1600,-,1600,1600,,,-,-,,,,,,,-,,,-,-,
06/09/2024,8023071,8023071,1500,1700,1300,44331,70.0,13,1600,1600,1700,1500,200,1583,1600,100.0,6.67,1173,2600,29569.0,161069.0,44331.0,70.0,63.0,79.0,-16,73900.0,205400.0,-131500,-,
05/09/2024,8023071,8023071,1500,1700,1300,-,,12,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
04/09/2024,8023071,8023071,1500,1700,1300,-,,12,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
30/08/2024,8023071,8023071,1400,1600,1200,111156,168.0,13,1500,1600,1600,1500,100,1510,1600,200.0,14.29,2264,2276,56344.0,48144.0,111156.0,168.0,74.0,70.0,4,167500.0,159300.0,8200,-,
29/08/2024,8023071,8023071,1400,1600,1200,-,,11,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
28/08/2024,8023071,8023071,1400,1600,1200,-,,11,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
27/08/2024,8023071,8023071,1400,1600,1200,-,,11,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
26/08/2024,8023071,8023071,1400,1600,1200,-,,11,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
23/08/2024,8023071,8023071,1300,1400,1200,83427,117.0,11,1300,1400,1400,1300,100,1398,1400,100.0,7.69,3407,2450,100573.0,,83427.0,117.0,54.0,34.0,20,184000.0,83300.0,100700,-,
22/08/2024,8023071,8023071,1300,1400,1200,-,,10,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
21/08/2024,8023071,8023071,1300,1400,1200,-,,10,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
20/08/2024,8023071,8023071,1300,1400,1200,-,,10,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
19/08/2024,8023071,8023071,1300,1400,1200,-,,10,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
16/08/2024,8023071,8023071,1300,1400,1200,33182,44.0,11,1300,1400,1400,1300,100,1312,1400,100.0,7.69,2278,2686,92118.0,63518.0,33182.0,44.0,55.0,36.0,19,125300.0,96700.0,28600,-,
15/08/2024,8023071,8023071,1300,1400,1200,-,,10,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
14/08/2024,8023071,8023071,1300,1400,1200,-,,10,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
13/08/2024,8023071,8023071,1300,1400,1200,-,,10,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
12/08/2024,8023071,8023071,1300,1400,1200,-,,10,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
09/08/2024,8023071,8023071,1200,1300,1100,38745,49.0,10,1300,1300,1300,1200,100,1276,1300,100.0,8.33,1799,2750,87155.0,38255.0,38745.0,49.0,70.0,28.0,42,125900.0,77000.0,48900,-,
08/08/2024,8023071,8023071,1200,1300,1100,-,,10,1200,1200,1200,1200,-,1200,1200,,,-,-,,,,,,,-,,,-,-,
