Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,14140487,14140487,16150,17250,15050,3900,62.0,228,16150,16150,16150,16050,100,15897.0,16200,,,461,748,4400,6400.0,3900.0,62.0,44.0,44.0,-,20300.0,32900.0,-12600,-,
26/09/2024,14140487,14140487,16150,17250,15050,8300,133.0,228,16150,16150,16150,16000,150,16024.0,16200,,,835,828,3000,9000.0,8300.0,133.0,37.0,46.0,-9,30900.0,38100.0,-7200,-,
25/09/2024,14140487,14140487,16150,17250,15050,16700,267.0,228,16000,16150,16150,16000,150,15988.0,16200,,,618,923,5200,3000.0,16700.0,267.0,50.0,53.0,-3,30900.0,48900.0,-18000,-,
24/09/2024,14140487,14140487,16150,17250,15050,6300,101.0,228,16150,16150,16150,16150,-,16032.0,16200,,,545,781,1200,4000.0,6300.0,101.0,31.0,27.0,4,16900.0,21100.0,-4200,-,
23/09/2024,14140487,14140487,16150,17250,15050,4800,77.0,228,16150,16150,16150,15900,250,16042.0,16200,,,335,643,2300,2500.0,4800.0,77.0,43.0,30.0,13,14400.0,19300.0,-4900,-,
20/09/2024,14140487,14140487,16250,17350,15150,4000,64.0,228,16250,16150,16250,16150,100,16000.0,16200,-100.0,-0.62,356,752,4900,6800.0,4000.0,64.0,52.0,29.0,23,18500.0,21800.0,-3300,-,
19/09/2024,14140487,14140487,16400,17500,15300,15100,243.0,230,16300,16250,16300,16050,250,16093.0,16300,-150.0,-0.91,587,834,2200,7200.0,15100.0,243.0,68.0,53.0,15,39900.0,44200.0,-4300,-,
18/09/2024,14140487,14140487,16400,17500,15300,4600,75.0,232,16400,16400,16450,16300,150,16304.0,16400,,,668,677,1000,9300.0,4600.0,75.0,22.0,43.0,-21,14700.0,29100.0,-14400,-,
17/09/2024,14140487,14140487,16400,17500,15300,8100,133.0,232,16400,16400,16550,16400,150,16420.0,16400,,,804,1010,2100,16700.0,8100.0,133.0,23.0,40.0,-17,18500.0,40400.0,-21900,-,
