Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1860,-,18600,,,,10,,10,18600,,18600,-,
26/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,463,-,3700,,,,8,,8,3700,,3700,-,
25/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,450,-,3600,,,,8,,8,3600,,3600,-,
24/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,583,-,3500,,,,6,,6,3500,,3500,-,
23/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,2643,-,18500,,,,7,,7,18500,,18500,-,
20/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,950,-,7600,,,,8,,8,7600,,7600,-,
19/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1071,-,7500,,,,7,,7,7500,,7500,-,
18/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1214,-,8500,,,,7,,7,8500,,8500,-,
17/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1214,-,8500,,,,7,,7,8500,,8500,-,
16/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,2938,-,23500,,,,8,,8,23500,,23500,-,
13/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1688,-,13500,,,,8,,8,13500,,13500,-,
12/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1380,-,13800,,,,10,,10,13800,,13800,-,
11/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1420,-,14200,,,,10,,10,14200,,14200,-,
10/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1688,-,13500,,,,8,,8,13500,,13500,-,
09/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1722,-,15500,,,,9,,9,15500,,15500,-,
06/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1930,-,19300,,,,10,,10,19300,,19300,-,
05/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1360,-,13600,,,,10,,10,13600,,13600,-,
04/09/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1688,-,13500,,,,8,,8,13500,,13500,-,
30/08/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1511,-,13600,,,,9,,9,13600,,13600,-,
29/08/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1511,-,13600,,,,9,,9,13600,,13600,-,
28/08/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1360,-,13600,,,,10,,10,13600,,13600,-,
27/08/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1688,-,13500,,,,8,,8,13500,,13500,-,
26/08/2024,1224948,1224948,12000,16800,7200,-,,15,12000,12000,12000,12000,-,12000,12000,,,1150,-,13800,,,,12,,12,13800,,13800,-,
