Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,24460792,24460792,9100,9730,8470,100,,223,9120,9120,9120,9120,-,,9100,20.0,0.22,729,200,1600.0,700.0,100.0,,17.0,4.0,13,12400.0,800.0,11600,-,
26/09/2024,24460792,24460792,9100,9730,8470,-,,223,9100,9100,9100,9100,-,,9100,,,1000,567,5700.0,1600.0,,,13.0,3.0,10,13000.0,1700.0,11300,-,
25/09/2024,24460792,24460792,9500,10150,8840,500,4.0,223,9100,9100,9100,9100,-,8000.0,9100,-400.0,-4.21,559,577,2700.0,2800.0,500.0,4.0,17.0,13.0,4,9500.0,7500.0,2000,-,
24/09/2024,24460792,24460792,9500,10150,8840,100,,232,9500,9500,9500,9500,-,,9500,,,1410,1300,3300.0,3800.0,100.0,,10.0,3.0,7,14100.0,3900.0,10200,-,
23/09/2024,24460792,24460792,9600,10250,8930,2400,22.0,232,9500,9500,9500,9500,-,9167.0,9500,-100.0,-1.04,567,560,4100.0,2200.0,2400.0,22.0,18.0,10.0,8,10200.0,5600.0,4600,-,
20/09/2024,24460792,24460792,9600,10250,8930,-,,235,9600,9600,9600,9600,-,,9600,,,179,743,400.0,4200.0,,,14.0,7.0,7,2500.0,5200.0,-2700,-,
19/09/2024,24460792,24460792,9600,10250,8930,-,,235,9600,9600,9600,9600,-,,9600,,,217,700,500.0,4700.0,,,12.0,7.0,5,2600.0,4900.0,-2300,-,
18/09/2024,24460792,24460792,9600,10250,8930,-,,235,9600,9600,9600,9600,-,,9600,,,333,682,900.0,3200.0,,,12.0,11.0,1,4000.0,7500.0,-3500,-,
17/09/2024,24460792,24460792,9600,10250,8930,-,,235,9600,9600,9600,9600,-,,9600,,,267,670,800.0,5700.0,,,9.0,10.0,-1,2400.0,6700.0,-4300,-,
16/09/2024,24460792,24460792,9700,10350,9030,800,7.0,235,9700,9600,9700,9600,100,8750.0,9600,-100.0,-1.03,283,1067,1700.0,4800.0,800.0,7.0,12.0,9.0,3,3400.0,9600.0,-6200,-,
13/09/2024,24460792,24460792,9850,10500,9170,1400,13.0,237,9700,9700,9750,9700,50,9286.0,9700,-150.0,-1.52,418,706,1400.0,3600.0,1400.0,13.0,11.0,18.0,-7,4600.0,12700.0,-8100,-,
12/09/2024,24460792,24460792,9650,10300,8980,100,,241,9850,9850,9850,9850,-,,9900,200.0,2.07,414,908,1800.0,2300.0,100.0,,7.0,12.0,-5,2900.0,10900.0,-8000,-,
11/09/2024,24460792,24460792,9600,10250,8930,2000,19.0,236,9700,9650,9700,9650,50,9500.0,9700,50.0,0.52,711,657,3200.0,1400.0,2000.0,19.0,9.0,21.0,-12,6400.0,13800.0,-7400,-,
10/09/2024,24460792,24460792,9600,10250,8930,300,2.0,235,9600,9600,9600,9600,-,6667.0,9600,,,390,600,900.0,3700.0,300.0,2.0,10.0,8.0,2,3900.0,4800.0,-900,-,
09/09/2024,24460792,24460792,9600,10250,8930,-,,235,9600,9600,9600,9600,-,,9600,,,318,780,1900.0,1000.0,,,11.0,10.0,1,3500.0,7800.0,-4300,-,
06/09/2024,24460792,24460792,9600,10250,8930,100,,235,9600,9600,9600,9600,-,,9600,,,364,867,1500.0,1400.0,100.0,,14.0,12.0,2,5100.0,10400.0,-5300,-,
