Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,2328818410,2272318410,19200,20500,17900,11672700,226581,44083,19300,19400,19700,19150,550,19411,19400,200.0,1.04,6412,3642,1221100.0,531100.0,11672700,226581,4916.0,6568.0,-1652,31522000.0,23917900.0,7604100,-,
26/09/2024,2328818410,2272318410,19100,20400,17800,6640500,128003,43629,19250,19200,19400,19150,250,19276,19200,100.0,0.52,4333,3951,1260800.0,698600.0,6640500,128003,3506.0,4642.0,-1136,15192600.0,18340700.0,-3148100,-,
25/09/2024,2328818410,2272318410,19050,20350,17750,7625900,146012,43401,19300,19100,19300,19050,250,19150,19100,50.0,0.26,3879,4437,1272100.0,746600.0,7600900,145559,4245.0,3806.0,439,16467300.0,16887500.0,-420200,25000,453.0
24/09/2024,2328818410,2272318410,19000,20300,17700,5990900,113775,43288,19050,19050,19100,18900,200,18995,19100,50.0,0.26,2499,6174,612400.0,234400.0,5918900,112432,4968.0,2435.0,2533,12416000.0,15034300.0,-2618300,72000,1343.0
23/09/2024,2328818410,2272318410,19500,20850,18150,10920800,209007,43174,19500,19000,19550,19000,550,19134,19000,-500.0,-2.56,2570,8549,1277500.0,223000.0,10845800,207519,7280.0,2977.0,4303,18707300.0,25449000.0,-6741700,75000,1488.0
20/09/2024,2328818410,2272318410,19450,20800,18100,12860100,251264,44310,19650,19500,19750,19400,350,19538,19500,50.0,0.26,6883,5948,575600.0,1227900.0,12860100,251264,3681.0,5082.0,-1401,25334600.0,30229800.0,-4895200,-,
19/09/2024,2328818410,2272318410,19150,20450,17850,4719500,91354,44197,19250,19450,19450,19200,250,19357,19500,300.0,1.57,5368,3360,1214400.0,486300.0,4719500,91354,3223.0,3346.0,-123,17300100.0,11242900.0,6057200,-,
18/09/2024,2328818410,2272318410,19400,20750,18050,8623000,167717,43515,19450,19150,19750,19150,600,19451,19200,-250.0,-1.29,3533,5254,379800.0,53000.0,8583000,166952,3833.0,4703.0,-870,13541400.0,24711800.0,-11170400,40000,765.0
17/09/2024,2328818410,2272318410,18900,20200,17600,6036517,116027,44083,19000,19400,19400,18900,500,19221,19400,500.0,2.65,3958,3933,276100.0,966000.0,6036500,116027,3545.0,3313.0,232,14032100.0,13030800.0,1001300,17,0.0
16/09/2024,2328818410,2272318410,19300,20650,17950,5685601,108663,42947,19300,18900,19400,18900,500,19111,18900,-400.0,-2.07,3033,4750,712900.0,62400.0,5645600,107893,3574.0,2517.0,1057,10840100.0,11954900.0,-1114800,40001,770.0
13/09/2024,2328818410,2272318410,19000,20300,17700,4986801,95439,43856,19100,19300,19400,18850,550,19138,19300,300.0,1.58,5419,4867,131900.0,170600.0,4986800,95439,3075.0,2800.0,275,16663700.0,13627900.0,3035800,1,0.0
12/09/2024,2328818410,2272318410,19100,20400,17800,3492500,66958,43174,19300,19000,19350,19000,350,19187,19000,-100.0,-0.52,3188,4111,337300.0,39600.0,3212500,61638,2361.0,2531.0,-170,7526900.0,10404400.0,-2877500,280000,5320.0
11/09/2024,2328818410,2272318410,19200,20500,17900,8396501,159802,43401,19200,19100,19350,18600,750,19032,19100,-100.0,-0.52,3330,5460,270400.0,58200.0,8396500,159802,5691.0,2867.0,2824,18952500.0,15655200.0,3297300,1,0.0
10/09/2024,2328818410,2272318410,20100,21500,18700,19049800,372394,43629,20200,19200,20300,19050,1250,19548,19200,-900.0,-4.48,4081,7424,803800.0,101000.0,19049800,372394,8727.0,5119.0,3608,35617100.0,38001900.0,-2384800,-,
09/09/2024,2328818410,2272318410,20100,21500,18700,7303301,146468,45674,19950,20100,20250,19850,400,20055,20100,,,4611,4944,267400.0,779600.0,7303300,146468,3625.0,5159.0,-1534,16713300.0,25503700.0,-8790400,1,0.0
06/09/2024,2328818410,2272318410,19700,21050,18350,11269400,223354,45674,19750,20100,20100,19400,700,19820,20100,400.0,2.03,6991,4753,246600.0,1055000.0,11269400,223354,4387.0,5190.0,-803,30671600.0,24669100.0,6002500,-,
05/09/2024,2328818410,2272318410,19700,21050,18350,12485100,249729,44765,19800,19700,20350,19650,700,20002,19700,,,5031,4185,276900.0,182500.0,12485100,249729,4756.0,7162.0,-2406,23928400.0,29976400.0,-6048000,-,
04/09/2024,2328818410,2272318410,19200,20500,17900,11532600,223012,44765,19000,19700,19700,18850,850,19338,19700,500.0,2.6,6280,4088,50300.0,436100.0,11532600,223012,4721.0,4482.0,239,29646000.0,18322700.0,11323300,-,
30/08/2024,2328818410,2272318410,19250,20550,17950,7658100,147590,43629,19350,19200,19450,19200,250,19272,19200,-50.0,-0.26,3946,5815,747600.0,214800.0,7658100,147590,2130.0,1354.0,776,8405700.0,7872900.0,532800,-,
29/08/2024,2328818410,2272318410,19500,20850,18150,12572000,243221,43742,19500,19250,19750,19150,600,19346,19300,-250.0,-1.28,4186,5821,643200.0,198400.0,12572000,243221,6553.0,3830.0,2723,27431900.0,22293200.0,5138700,-,
28/08/2024,2328818410,2272318410,20050,21450,18650,12655202,249440,44310,20150,19500,20200,19500,700,19711,19500,-550.0,-2.74,3388,5156,1124200.0,190000.0,12575200,247874,6592.0,4728.0,1864,22331300.0,24377200.0,-2045900,80002,1566.0
