Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,266791284,286796819,17600,18800,16400,2969900,52052,5048,17750,17600,17750,17400,350,17521,17600,,,2996,3825,162000.0,331600.0,2747900,48145,1559.0,1744.0,-185,4671100.0,6670700.0,-1999600,222000,3907.0
26/09/2024,266791284,286796819,17450,18650,16250,2835324,49847,5048,17500,17600,17700,17500,200,17592,17600,150.0,0.86,3868,3265,160900.0,500900.0,2811100,49453,1425.0,2086.0,-661,5512500.0,6811200.0,-1298700,24224,394.0
25/09/2024,266791284,286796819,17300,18500,16100,3034100,52830,5005,17450,17450,17600,17250,350,17412,17500,150.0,0.87,4781,3349,523600.0,377600.0,3034100,52830,1506.0,2133.0,-627,7200200.0,7143800.0,56400,-,
24/09/2024,266791284,286796819,17200,18400,16000,1897000,32578,4962,17200,17300,17300,17050,250,17173,17300,100.0,0.58,3392,4395,86800.0,151200.0,1897000,32578,1117.0,991.0,126,3788400.0,4355200.0,-566800,-,
23/09/2024,266791284,286796819,17250,18450,16050,1395600,23952,4933,17350,17200,17350,17100,250,17163,17200,-50.0,-0.29,2278,3763,29100.0,245500.0,1395600,23952,1227.0,1060.0,167,2795400.0,3988700.0,-1193300,-,
20/09/2024,266791284,286796819,17200,18400,16000,2504000,43316,4947,17300,17250,17450,17150,300,17299,17300,50.0,0.29,3823,3212,217400.0,88600.0,2504000,43316,1166.0,1834.0,-668,4457800.0,5891300.0,-1433500,-,
19/09/2024,266791284,286796819,17150,18350,15950,1138900,19578,4933,17150,17200,17300,17100,200,17190,17200,50.0,0.29,2942,3015,268200.0,349100.0,1138900,19578,852.0,1288.0,-436,2506500.0,3883400.0,-1376900,-,
18/09/2024,266791284,286796819,16800,17950,15650,2766200,47339,4919,16850,17150,17300,16750,550,17113,17200,350.0,2.08,3862,2897,670100.0,183300.0,2766200,47339,1711.0,2134.0,-423,6608700.0,6182800.0,425900,-,
17/09/2024,266791284,286796819,16650,17800,15500,1442000,24030,4818,16600,16800,16800,16550,250,16664,16800,150.0,0.9,1932,3388,33700.0,182500.0,1442000,24030,1432.0,749.0,683,2766000.0,2537500.0,228500,-,
16/09/2024,266791284,266791284,16800,17950,15650,1363100,22889,4442,16800,16650,16950,16650,300,16792,16700,-150.0,-0.89,3105,3428,118000.0,115300.0,1363100,22889,1260.0,928.0,332,3912000.0,3181200.0,730800,-,
13/09/2024,266791284,266791284,16800,17950,15650,973000,16255,4482,16750,16800,16950,16750,200,16827,16800,,,2615,2682,406000.0,122600.0,873000,14690,1007.0,890.0,117,2633500.0,2387200.0,246300,100000,1565.0
12/09/2024,266791284,266791284,16700,17850,15550,1530500,25724,4482,16750,16800,16950,16700,250,16808,16800,100.0,0.6,2505,3596,305500.0,187500.0,1530500,25724,1306.0,1022.0,284,3271600.0,3675500.0,-403900,-,
11/09/2024,266791284,266791284,16850,18000,15700,1940100,32502,4455,16850,16700,16950,16650,300,16753,16700,-150.0,-0.89,2035,3548,267400.0,42600.0,1940100,32502,2114.0,1184.0,930,4301100.0,4200600.0,100500,-,
10/09/2024,266791284,266791284,18500,19750,17250,3193400,58482,4829,18550,18100,18650,18100,550,18337,16800,-400.0,-2.16,2219,4835,363600.0,83500.0,3124200,57288,2155.0,1601.0,554,4781200.0,7740100.0,-2958900,69200,1194.0
09/09/2024,266791284,266791284,18600,19900,17300,2285800,42302,4936,18550,18500,18600,18400,200,18506,17200,-100.0,-0.54,2525,4376,271800.0,222300.0,2285800,42302,1903.0,1151.0,752,4805100.0,5037300.0,-232200,-,
06/09/2024,266791284,266791284,18450,19700,17200,2304900,42751,4962,18550,18600,18650,18450,200,18548,17300,150.0,0.81,3068,3450,226400.0,148500.0,2304900,42751,1718.0,1325.0,393,5271100.0,4571300.0,699800,-,
05/09/2024,266791284,266791284,18400,19650,17150,2489500,46147,4922,18500,18450,18700,18350,350,18537,17200,50.0,0.27,2832,4340,259200.0,113000.0,2489500,46147,2034.0,1499.0,535,5760500.0,6505900.0,-745400,-,
04/09/2024,266791284,266791284,18500,19750,17250,1616800,29719,4909,18350,18400,18500,18250,250,18381,17100,-100.0,-0.54,2546,5561,447200.0,278800.0,1616800,29719,2091.0,788.0,1303,5324300.0,4382100.0,942200,-,
30/08/2024,266791284,266791284,18350,19600,17100,1884300,34785,4936,18400,18500,18600,18300,300,18449,17200,150.0,0.82,2087,2491,273500.0,161300.0,1844300,34025,1015.0,805.0,210,2117800.0,2005600.0,112200,40000,760.0
29/08/2024,266791284,266791284,18500,19750,17250,2165300,39930,4896,18500,18350,18600,18350,250,18441,17100,-150.0,-0.81,1975,5029,384300.0,164000.0,2165300,39930,2618.0,1108.0,1510,5170100.0,5572400.0,-402300,-,
28/08/2024,266791284,266791284,18800,20100,17500,4556400,84965,4936,18800,18500,18850,18450,400,18647,17200,-300.0,-1.6,3154,6064,453400.0,247500.0,4556400,84965,3336.0,1567.0,1769,10521800.0,9501700.0,1020100,-,
27/08/2024,266791284,266791284,19000,20300,17700,2546400,48133,5016,18950,18800,19100,18800,300,18902,17500,-200.0,-1.05,2725,5208,386700.0,234500.0,2546400,48133,2334.0,1471.0,863,6360300.0,7660900.0,-1300600,-,
26/08/2024,266791284,266791284,19000,20300,17700,3118600,59722,5069,19150,19000,19400,18950,450,19150,17700,,,3278,4109,289000.0,87400.0,3118600,59722,2055.0,2019.0,36,6735700.0,8295600.0,-1559900,-,
23/08/2024,266791284,266791284,19150,20450,17850,3524000,67007,5069,19150,19000,19200,18850,350,19014,17700,-150.0,-0.78,2733,4967,142000.0,314200.0,3524000,67007,2545.0,1827.0,718,6954800.0,9075400.0,-2120600,-,
22/08/2024,266791284,266791284,19200,20500,17900,3018000,57769,5109,19300,19150,19300,19050,250,19141,17800,-50.0,-0.26,4191,4398,302100.0,247300.0,3018000,57769,2169.0,1706.0,463,9091300.0,7503300.0,1588000,-,
21/08/2024,266791284,266791284,19200,20500,17900,3210300,61835,5122,19200,19200,19500,19100,400,19261,17900,,,3168,3735,308200.0,120900.0,3210300,61835,2396.0,2309.0,87,7589700.0,8624300.0,-1034600,-,
20/08/2024,266791284,266791284,19200,20500,17900,7925500,150881,5122,19300,19200,19300,18900,400,19037,17900,,,3704,5841,56200.0,379500.0,7925500,150881,4352.0,2067.0,2285,16121300.0,12073200.0,4048100,-,
19/08/2024,266791284,266791284,18850,20150,17550,4535200,86929,5122,18950,19200,19300,18950,350,19168,17900,350.0,1.86,4377,3413,411200.0,203500.0,4535200,86929,3077.0,2731.0,346,13466900.0,9322200.0,4144700,-,
16/08/2024,266791284,266791284,18100,19350,16850,5544200,103309,5029,18200,18850,19000,18100,900,18634,17500,750.0,4.14,4963,3515,410800.0,153900.0,5544200,103309,2940.0,2704.0,236,14591000.0,9504900.0,5086100,-,
15/08/2024,266791284,266791284,18300,19550,17050,2273100,41255,4829,18350,18100,18500,18000,500,18149,16800,-200.0,-1.09,1930,3262,168100.0,39600.0,2273100,41255,1265.0,709.0,556,2441200.0,2312700.0,128500,-,
14/08/2024,266791284,266791284,18500,19750,17250,1819800,33461,4882,18600,18300,18650,18250,400,18387,17000,-200.0,-1.08,1760,2921,148200.0,67400.0,1819800,33461,1118.0,646.0,472,1968000.0,1887200.0,80800,-,
13/08/2024,266791284,266791284,18950,20250,17650,2880500,53571,4936,19000,18500,19000,18350,650,18598,17200,-450.0,-2.37,2074,3740,147900.0,77900.0,2880500,53571,1460.0,791.0,669,3028400.0,2958400.0,70000,-,
12/08/2024,266791284,266791284,18700,20000,17400,3000100,56247,5056,18700,18950,19000,18500,500,18748,17600,250.0,1.34,2351,3364,146000.0,407400.0,3000100,56247,1338.0,1013.0,325,3146100.0,3407500.0,-261400,-,
09/08/2024,266791284,266791284,18200,19450,16950,3243100,60021,4989,18300,18700,18700,18300,400,18507,17400,500.0,2.75,3350,2817,123500.0,286400.0,3243100,60021,1005.0,1253.0,-248,3366600.0,3529500.0,-162900,-,
08/08/2024,266791284,266791284,18150,19400,16900,2684300,48822,4856,18000,18200,18500,18000,500,18198,16900,50.0,0.28,2047,2825,64400.0,95500.0,2664300,48484,1333.0,977.0,356,2728700.0,2759800.0,-31100,20000,338.0
07/08/2024,266791284,266791284,18150,19400,16900,2961200,52149,4842,18250,18150,18350,17850,500,18091,16900,,,1892,2342,81700.0,99400.0,1767200,31970,977.0,797.0,180,1848900.0,1866600.0,-17700,1194000,20179.0
06/08/2024,266791284,266791284,17950,19200,16700,3062600,55125,4842,18050,18150,18300,17600,700,17999,16900,200.0,1.11,2580,2874,35900.0,29700.0,3062600,55125,1201.0,1076.0,125,3098500.0,3092300.0,6200,-,
05/08/2024,266791284,266791284,19300,20650,17950,4022200,73338,4789,18800,17950,18950,17950,1000,18233,16700,-1350.0,-6.99,3663,5089,,282800.0,4022200,73338,1098.0,846.0,252,4022200.0,4305000.0,-282800,-,
02/08/2024,266791284,266791284,19150,20450,17850,3501300,66066,5149,19000,19300,19300,18550,750,18869,18000,150.0,0.78,2467,3484,147700.0,70200.0,3501300,66066,1479.0,1025.0,454,3649000.0,3571500.0,77500,-,
01/08/2024,266791284,266791284,20000,21400,18600,4996300,97089,5109,20100,19150,20150,18800,1350,19432,17800,-850.0,-4.25,3105,4341,154600.0,47900.0,4996300,97089,1659.0,1162.0,497,5150900.0,5044200.0,106700,-,
31/07/2024,266791284,266791284,20050,21450,18650,1888200,38020,5336,20450,20000,20450,19950,500,20136,18600,-50.0,-0.25,2410,2653,158200.0,106700.0,1888200,38020,849.0,752.0,97,2046400.0,1994900.0,51500,-,
30/07/2024,266791284,266791284,20000,21400,18600,2023100,40675,5349,20000,20050,20350,19900,450,20105,18700,50.0,0.25,2130,2356,115100.0,132500.0,2023100,40675,1004.0,915.0,89,2138200.0,2155600.0,-17400,-,
29/07/2024,266791284,266791284,20000,21400,18600,1229700,24711,5336,20100,20000,20250,20000,250,20095,18600,,,2055,1762,180300.0,63500.0,1229700,24711,686.0,734.0,-48,1410000.0,1293200.0,116800,-,
26/07/2024,266791284,266791284,19900,21250,18550,1049400,20881,5336,19900,20000,20000,19800,200,19898,18600,100.0,0.5,1407,1664,194600.0,63700.0,1049400,20881,884.0,669.0,215,1244000.0,1113100.0,130900,-,
25/07/2024,266791284,266791284,19850,21200,18500,2004700,39770,5309,19850,19900,19950,19650,300,19798,18500,50.0,0.25,1713,2274,52200.0,96100.0,1604700,31770,967.0,748.0,219,1656900.0,1700800.0,-43900,400000,8000.0
24/07/2024,266791284,266791284,19600,20950,18250,3265900,63990,5296,19400,19850,20000,19250,750,19593,18500,250.0,1.28,2347,2840,59300.0,76800.0,3265900,63990,1417.0,1177.0,240,3325200.0,3342700.0,-17500,-,
