Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,80914300,80904500,19700,22600,16800,20232,385.0,1578,19500,19500,19500,19000,500,19011,19500,-200.0,-1.02,673,1760,6668.0,6168.0,20232.0,385.0,40.0,15,25,26900.0,26400,500,-,
26/09/2024,80914300,80904500,19200,22000,16400,803,16.0,1578,20000,19500,20000,19500,500,19675,19500,300.0,1.56,517,311,5397.0,5097.0,803.0,16.0,12.0,19,-7,6200.0,5900,300,-,
25/09/2024,80914300,80904500,19400,22300,16500,8301,160.0,1578,19400,19500,19500,18900,600,19235,19500,100.0,0.52,570,812,7099.0,5499.0,8301.0,160.0,27.0,17,10,15400.0,13800,1600,-,
24/09/2024,80914300,80904500,19500,22400,16600,2900,56.0,1578,19500,19500,19700,19000,700,19403,19500,,,539,700,6800.0,6200.0,2900.0,56.0,18.0,13,5,9700.0,9100,600,-,
23/09/2024,80914300,80904500,19500,22400,16600,800,16.0,1578,19500,19500,19500,19500,-,19500,19500,,,373,838,4800.0,10100.0,800.0,16.0,15.0,13,2,5600.0,10900,-5300,-,
20/09/2024,80914300,80904500,19400,22300,16500,1400,27.0,1578,19400,19500,19800,19400,400,19479,19500,100.0,0.52,338,146,4000.0,2100.0,1400.0,27.0,16.0,24,-8,5400.0,3500,1900,-,
19/09/2024,80914300,80904500,19200,22000,16400,3900,76.0,1578,19200,19500,19500,19200,300,19369,19500,300.0,1.56,446,196,6800.0,6300.0,3900.0,76.0,24.0,52,-28,10700.0,10200,500,-,
18/09/2024,80914300,80904500,19200,22000,16400,-,,1553,19200,19200,19200,19200,-,19200,19200,,,518,525,5700.0,8400.0,,,11.0,16,-5,5700.0,8400,-2700,-,
17/09/2024,80914300,80904500,19100,21900,16300,1900,37.0,1545,19100,19100,20000,19100,900,19226,19100,,,374,450,6700.0,11600.0,1900.0,37.0,23.0,30,-7,8600.0,13500,-4900,-,
16/09/2024,80914300,80904500,19100,21900,16300,2300,44.0,1537,19100,19000,19200,19000,200,19065,19000,-100.0,-0.52,440,459,8700.0,7800.0,2300.0,44.0,25.0,22,3,11000.0,10100,900,-,
13/09/2024,80914300,80904500,19100,21900,16300,2504,48.0,1545,19100,19100,19100,19100,-,19100,19100,,,524,386,6396.0,5996.0,2504.0,48.0,17.0,22,-5,8900.0,8500,400,-,
12/09/2024,80914300,80904500,19000,21800,16200,900,17.0,1545,19100,19100,19100,19100,-,19100,19100,100.0,0.53,486,158,9300.0,3200.0,900.0,17.0,21.0,26,-5,10200.0,4100,6100,-,
11/09/2024,80914300,80904500,19700,22600,16800,1300,25.0,1537,19100,19000,19100,19000,100,19023,19000,-700.0,-3.55,736,477,9000.0,4900.0,1300.0,25.0,14.0,13,1,10300.0,6200,4100,-,
10/09/2024,80914300,80904500,19300,22100,16500,5201,102.0,1602,19300,19800,19900,19300,600,19662,19800,500.0,2.59,929,607,17099.0,12399.0,5201.0,102.0,24.0,29,-5,22300.0,17600,4700,-,
09/09/2024,80914300,80904500,19300,22100,16500,300,6.0,1561,19300,19300,19300,19300,-,19300,19300,,,244,1450,3600.0,11300.0,300.0,6.0,16.0,8,8,3900.0,11600,-7700,-,
06/09/2024,80914300,80904500,19500,22400,16600,3200,62.0,1570,19200,19400,19400,19200,200,19331,19400,-100.0,-0.51,372,938,7600.0,11800.0,3200.0,62.0,29.0,16,13,10800.0,15000,-4200,-,
05/09/2024,80914300,80904500,19700,22600,16800,100,2.0,1578,19500,19500,19500,19500,-,19500,19500,-200.0,-1.02,180,664,3500.0,7200.0,100.0,2.0,20.0,11,9,3600.0,7300,-3700,-,
04/09/2024,80914300,80904500,19600,22500,16700,100,2.0,1594,19700,19700,19700,19700,-,19700,19700,100.0,0.51,538,422,8500.0,9600.0,100.0,2.0,16.0,23,-7,8600.0,9700,-1100,-,
30/08/2024,80914300,80904500,19800,22700,16900,7510,147.0,1570,20200,19400,20200,19100,1100,19575,19400,-400.0,-2.02,345,522,6990.0,6590.0,7510.0,147.0,42.0,27,15,14500.0,14100,400,-,
29/08/2024,80914300,80904500,20400,23400,17400,806,16.0,1578,19800,19500,19900,19500,400,19763,19500,-900.0,-4.41,233,844,3394.0,20294.0,806.0,16.0,18.0,25,-7,4200.0,21100,-16900,-,
28/08/2024,80914300,80904500,19500,22400,16600,100,2.0,1650,20400,20400,20400,20400,-,20400,20400,900.0,4.62,439,568,7800.0,17500.0,100.0,2.0,18.0,31,-13,7900.0,17600,-9700,-,
27/08/2024,80914300,80904500,19800,22700,16900,4921,96.0,1626,20400,20100,20400,19100,1300,19471,20100,300.0,1.52,844,722,16179.0,11679.0,4921.0,96.0,25.0,23,2,21100.0,16600,4500,-,
26/08/2024,80914300,80904500,20600,23600,17600,1701,34.0,1618,20400,20000,20600,19500,1100,19765,20000,-600.0,-2.91,384,604,5599.0,12799.0,1701.0,34.0,19.0,24,-5,7300.0,14500,-7200,-,
23/08/2024,80914300,80904500,20200,23200,17200,1604,33.0,1642,20300,20300,20800,20300,500,20606,20300,100.0,0.5,300,572,4996.0,12696.0,1604.0,33.0,22.0,25,-3,6600.0,14300,-7700,-,
22/08/2024,80914300,80904500,19600,22500,16700,800,16.0,1642,20500,20300,20500,19500,1000,20163,20300,700.0,3.57,541,468,11100.0,10900.0,800.0,16.0,22.0,25,-3,11900.0,11700,200,-,
21/08/2024,80914300,80904500,20000,23000,17000,3981,81.0,1667,19900,20600,20900,19000,1900,20226,20600,600.0,3.0,430,443,13219.0,11519.0,3981.0,81.0,40.0,35,5,17200.0,15500,1700,-,
20/08/2024,80914300,80904500,20800,23900,17700,3500,70.0,1634,20000,20200,20200,19800,400,19989,20200,-600.0,-2.88,1985,316,50100.0,12000.0,3500.0,70.0,27.0,49,-22,53600.0,15500,38100,-,
19/08/2024,80914300,80904500,19000,21800,16200,300,6.0,1667,21000,20600,21000,20600,400,20800,20600,1600.0,8.42,382,355,6200.0,11400.0,300.0,6.0,17.0,33,-16,6500.0,11700,-5200,-,
16/08/2024,80914300,80904500,19300,22100,16500,12300,234.0,1594,19300,19700,19900,18500,1400,19046,19700,400.0,2.07,313,397,8700.0,2800.0,12300.0,234.0,67.0,38,29,21000.0,15100,5900,-,
15/08/2024,80914300,80904500,19300,22100,16500,1301,25.0,1545,19600,19100,19600,19100,500,19254,19100,-200.0,-1.04,405,588,7599.0,8699.0,1301.0,25.0,22.0,17,5,8900.0,10000,-1100,-,
14/08/2024,80914300,80904500,19200,22000,16400,600,12.0,1594,19200,19700,19700,19200,500,19283,19700,500.0,2.6,211,262,5300.0,4900.0,600.0,12.0,28.0,21,7,5900.0,5500,400,-,
13/08/2024,80914300,80904500,20100,23100,17100,2300,44.0,1561,19100,19300,19300,19100,200,19222,19300,-800.0,-3.98,184,578,6000.0,19100.0,2300.0,44.0,45.0,37,8,8300.0,21400,-13100,-,
12/08/2024,80914300,80904500,18800,21600,16000,204,4.0,1610,20300,19900,20300,19900,400,20100,19900,1100.0,5.85,286,517,3796.0,15296.0,204.0,4.0,14.0,30,-16,4000.0,15500,-11500,-,
09/08/2024,80914300,80904500,19300,22100,16500,5400,102.0,1537,18800,19000,19200,18700,500,18817,19000,-300.0,-1.55,191,710,3000.0,9500.0,5400.0,102.0,44.0,21,23,8400.0,14900,-6500,-,
08/08/2024,80914300,80904500,18800,21600,16000,100,2.0,1561,19300,19300,19300,19300,-,19300,19300,500.0,2.66,347,308,6500.0,3900.0,100.0,2.0,19.0,13,6,6600.0,4000,2600,-,
07/08/2024,80914300,80904500,18700,21500,15900,2800,53.0,1521,19800,18800,19800,18700,1100,18771,18800,100.0,0.53,244,308,3800.0,4900.0,2800.0,53.0,27.0,25,2,6600.0,7700,-1100,-,
06/08/2024,80914300,80904500,18600,21300,15900,3100,58.0,1513,18600,18700,18700,18600,100,18697,18700,100.0,0.54,200,365,4500.0,6400.0,3100.0,58.0,38.0,26,12,7600.0,9500,-1900,-,
05/08/2024,80914300,80904500,19500,22400,16600,10800,201.0,1553,19500,19200,19500,18500,1000,18602,19200,-300.0,-1.54,500,823,6700.0,7300.0,10800.0,201.0,35.0,22,13,17500.0,18100,-600,-,
02/08/2024,80914300,80904500,19300,22100,16500,400,8.0,1578,19500,19500,19500,19400,100,19475,19500,200.0,1.04,812,1180,13400.0,11400.0,400.0,8.0,17.0,10,7,13800.0,11800,2000,-,
01/08/2024,80914300,80904500,19500,22400,16600,6200,120.0,1578,19500,19500,19500,19300,200,19335,19500,,,748,624,15500.0,6900.0,6200.0,120.0,29.0,21,8,21700.0,13100,8600,-,
31/07/2024,80914300,80904500,19500,22400,16600,4400,86.0,1618,20200,20000,20200,19500,700,19541,20000,500.0,2.56,488,294,15100.0,5300.0,4400.0,86.0,40.0,33,7,19500.0,9700,9800,-,
30/07/2024,80914300,80904500,20400,23400,17400,9000,175.0,1618,20300,20000,20800,19000,1800,19457,20000,-400.0,-1.96,741,750,18400.0,15000.0,9000.0,175.0,37.0,32,5,27400.0,24000,3400,-,
29/07/2024,80914300,80904500,19000,21800,16200,100,2.0,1650,20400,20400,20400,20400,-,20400,20400,1400.0,7.37,722,363,12900.0,2800.0,100.0,2.0,18.0,8,10,13000.0,2900,10100,-,
26/07/2024,80914300,80904500,19900,22800,17000,39204,747.0,1610,19900,19900,19900,18900,1000,19049,19900,,,758,2994,16896.0,8696.0,39204.0,747.0,74.0,16,58,56100.0,47900,8200,-,
