Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,11982050,10804520,10600,11300,9860,2100,21.0,111,10500,10300,10500,10300,200,10000.0,10300,-300.0,-2.83,554,836,4000.0,1600.0,2100.0,21.0,13.0,22.0,-9,7200.0,18400.0,-11200,-,
26/09/2024,11982050,10804520,10600,11300,9860,600,6.0,115,10400,10600,10600,10400,200,10000.0,10600,,,592,900,4600.0,2700.0,600.0,6.0,13.0,25.0,-12,7700.0,22500.0,-14800,-,
25/09/2024,11982050,10804520,10500,11200,9770,600,6.0,115,10500,10600,10600,10500,100,10000.0,10600,100.0,0.95,355,1147,2900.0,1900.0,600.0,6.0,11.0,19.0,-8,3900.0,21800.0,-17900,-,
24/09/2024,11982050,10804520,10500,11200,9770,100,1.0,113,10500,10500,10500,10500,-,10000.0,10500,,,333,1078,2500.0,1300.0,100.0,1.0,9.0,9.0,-,3000.0,9700.0,-6700,-,
23/09/2024,11982050,10804520,10500,11200,9770,1100,11.0,113,10500,10500,10500,10500,-,10000.0,10500,,,470,615,2900.0,2800.0,1100.0,11.0,10.0,13.0,-3,4700.0,8000.0,-3300,-,
20/09/2024,11982050,10804520,10600,11300,9860,300,3.0,113,10500,10500,10500,10500,-,10000.0,10500,-100.0,-0.94,440,458,3400.0,3900.0,300.0,3.0,10.0,12.0,-2,4400.0,5500.0,-1100,-,
19/09/2024,11982050,10804520,10300,11000,9580,500,5.0,115,10200,10600,10600,10200,400,10000.0,10600,300.0,2.91,611,367,1500.0,2400.0,500.0,5.0,18.0,12.0,6,11000.0,4400.0,6600,-,
18/09/2024,11982050,10804520,10650,11350,9910,3300,33.0,111,10250,10300,10300,10250,50,10000.0,10300,-350.0,-3.29,500,1531,2600.0,15700.0,3300.0,33.0,15.0,26.0,-11,7500.0,39800.0,-32300,-,
17/09/2024,11982050,10804520,10350,11050,9630,1300,13.0,115,10350,10650,10650,10350,300,10000.0,10700,300.0,2.9,700,293,800.0,1000.0,1300.0,13.0,13.0,15.0,-2,9100.0,4400.0,4700,-,
16/09/2024,11982050,10804520,10350,11050,9630,-,,112,10350,10350,10350,10350,-,,10400,,,933,1538,5200.0,18400.0,,,9.0,21.0,-12,8400.0,32300.0,-23900,-,
13/09/2024,11982050,10804520,10350,11050,9630,300,3.0,112,10200,10350,10350,10200,150,10000.0,10400,,,880,1336,4000.0,16000.0,300.0,3.0,5.0,14.0,-9,4400.0,18700.0,-14300,-,
12/09/2024,11982050,10804520,10300,11000,9580,400,4.0,112,10200,10350,10350,10200,150,10000.0,10400,50.0,0.49,933,2930,3800.0,13900.0,400.0,4.0,15.0,10.0,5,14000.0,29300.0,-15300,-,
11/09/2024,11982050,10804520,10450,11150,9720,4500,45.0,111,10200,10300,10300,10000,300,10000.0,10300,-150.0,-1.44,1156,858,1700.0,4400.0,4500.0,45.0,16.0,12.0,4,18500.0,10300.0,8200,-,
10/09/2024,11982050,10804520,10400,11100,9680,400,4.0,113,10450,10450,10450,10450,-,10000.0,10500,50.0,0.48,960,2475,2500.0,16600.0,400.0,4.0,10.0,8.0,2,9600.0,19800.0,-10200,-,
09/09/2024,11982050,10804520,10250,10950,9540,2700,27.0,112,10250,10400,10400,10200,200,10000.0,10400,150.0,1.46,518,2356,2600.0,16100.0,2700.0,27.0,22.0,9.0,13,11400.0,21200.0,-9800,-,
06/09/2024,11982050,10804520,10300,11000,9580,200,2.0,111,10200,10250,10250,10200,50,10000.0,10300,-50.0,-0.49,288,3290,2500.0,16300.0,200.0,2.0,17.0,10.0,7,4900.0,32900.0,-28000,-,
05/09/2024,11982050,10804520,10250,10950,9540,3300,33.0,111,10250,10300,10300,10250,50,10000.0,10300,50.0,0.49,2058,3790,11900.0,18200.0,3300.0,33.0,12.0,10.0,2,24700.0,37900.0,-13200,-,
04/09/2024,11982050,10804520,10450,11150,9720,1200,12.0,111,10300,10250,10300,10250,50,10000.0,10300,-200.0,-1.91,655,1886,4100.0,21500.0,1200.0,12.0,11.0,14.0,-3,7200.0,26400.0,-19200,-,
30/08/2024,11982050,10804520,10450,11150,9720,-,,113,10450,10450,10450,10450,-,,10500,,,975,1844,3900.0,16600.0,,,4.0,9.0,-5,3900.0,16600.0,-12700,-,
29/08/2024,11982050,10804520,10400,11100,9680,12300,126.0,113,10300,10450,10450,10300,150,10244.0,10500,50.0,0.48,1043,1138,2500.0,900.0,12300.0,126.0,21.0,13.0,8,21900.0,14800.0,7100,-,
28/08/2024,11982050,10804520,10350,11050,9630,1000,10.0,112,10350,10400,10400,10350,50,10000.0,10400,50.0,0.48,769,935,2800.0,11400.0,1000.0,10.0,13.0,17.0,-4,10000.0,15900.0,-5900,-,
