Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
26/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
25/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
24/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
23/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
20/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
19/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
18/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
17/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
16/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
13/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,2600,-,5200.0,,,,2.0,,2,5200.0,,5200,-,
12/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
11/09/2024,3500000,4279763,4000,5600,2400,-,,17,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
