Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,79866666,79866666,13250,14150,12350,259700,3386,1030,13300,12900,13300,12900,400,13038,12900,-350.0,-2.64,1133,2383,57800.0,16900.0,259700,3386,372.0,403.0,-31,421600.0,960500.0,-538900,-,
26/09/2024,79866666,79866666,13000,13900,12100,452900,6022,1058,13050,13250,13450,13050,400,13297,13300,250.0,1.92,1851,1833,28600.0,79400.0,452900,6022,466.0,752.0,-286,862700.0,1378700.0,-516000,-,
25/09/2024,79866666,79866666,12900,13800,12000,401000,5177,1038,12900,13000,13000,12800,200,12910,13000,100.0,0.78,2015,2378,76900.0,72400.0,401000,5177,427.0,372.0,55,860600.0,884700.0,-24100,-,
24/09/2024,79866666,79866666,12950,13850,12050,147600,1888,1030,12850,12900,13000,12700,300,12791,12900,-50.0,-0.39,1210,1675,43300.0,38400.0,147600,1888,258.0,276.0,-18,312100.0,462400.0,-150300,-,
23/09/2024,79866666,79866666,12950,13850,12050,76700,986,1034,12950,12950,12950,12800,150,12855,13000,,,762,1815,34300.0,101100.0,76700,986,238.0,265.0,-27,181400.0,481100.0,-299700,-,
20/09/2024,79866666,79866666,12900,13800,12000,156400,2037,1034,13200,12950,13200,12900,300,13024,13000,50.0,0.39,1426,2146,25300.0,15300.0,156400,2037,246.0,399.0,-153,350700.0,856200.0,-505500,-,
19/09/2024,79866666,79866666,12850,13700,12000,106900,1375,1030,12900,12900,12950,12800,150,12862,12900,50.0,0.39,1204,1495,29100.0,33500.0,106900,1375,193.0,281.0,-88,232300.0,420100.0,-187800,-,
18/09/2024,79866666,79866666,12950,13850,12050,168400,2175,1026,12950,12850,13000,12800,200,12916,12900,-100.0,-0.77,1630,1505,52800.0,74100.0,168400,2175,254.0,438.0,-184,414000.0,659000.0,-245000,-,
17/09/2024,79866666,79866666,12800,13650,11950,358000,4524,1034,12800,12950,12950,12400,550,12637,13000,150.0,1.17,1430,2172,8400.0,33800.0,358000,4524,457.0,471.0,-14,653300.0,1022800.0,-369500,-,
16/09/2024,79866666,79866666,12950,13850,12050,206200,2658,1022,12950,12800,13000,12800,200,12890,12800,-150.0,-1.16,1859,1857,22500.0,76900.0,206200,2658,199.0,287.0,-88,369900.0,533100.0,-163200,-,
13/09/2024,79866666,79866666,12950,13850,12050,126500,1637,1034,12950,12950,13000,12900,100,12941,13000,,,1456,1149,20900.0,27200.0,126500,1637,190.0,229.0,-39,276700.0,263100.0,13600,-,
12/09/2024,79866666,79866666,12850,13700,12000,230800,2962,1034,13000,12950,13000,12700,300,12834,13000,100.0,0.78,1679,1360,55700.0,38900.0,230800,2962,356.0,286.0,70,597900.0,389000.0,208900,-,
11/09/2024,79866666,79866666,13000,13900,12100,219700,2828,1026,12900,12850,13000,12800,200,12872,12900,-150.0,-1.15,1460,1656,59600.0,26000.0,219700,2828,347.0,285.0,62,506700.0,471900.0,34800,-,
