Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
26/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
25/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,300,,600.0,,,,2.0,-2,,600.0,-600,-,
24/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
23/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
20/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
19/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
18/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
17/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
16/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
13/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
12/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
11/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
10/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,300,,600.0,,,,2.0,-2,,600.0,-600,-,
09/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
06/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
05/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,200.0,,,,2.0,-2,,200.0,-200,-,
04/09/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,200.0,,,,2.0,-2,,200.0,-200,-,
30/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
29/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
28/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
27/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
26/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
23/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
22/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
21/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
20/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
19/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
16/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
15/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
14/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
13/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
12/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
09/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
08/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
07/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
06/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
05/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,-,,,,,,,-,,,-,-,
02/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
01/08/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
31/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
30/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
29/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
26/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
25/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
24/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
23/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
22/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
19/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
18/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
17/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
16/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
15/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
12/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
11/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
10/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
09/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
08/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
05/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
04/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
03/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
02/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
01/07/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
28/06/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,200.0,,,,2.0,-2,,200.0,-200,-,
27/06/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,200.0,,,,2.0,-2,,200.0,-200,-,
26/06/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
25/06/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
24/06/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
21/06/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
20/06/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
19/06/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
18/06/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,100,,100.0,,,,1.0,-1,,100.0,-100,-,
17/06/2024,17081791,17081791,38300,53600,23000,-,,654,38300,38300,38300,38300,-,38300,38300,,,-,300,,600.0,,,,2.0,-2,,600.0,-600,-,
