Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,33900000,33900000,13600,15600,11600,1125800,13510.0,461,13600,13600,13600,13600,-,13600,13600,,,217,100,1300.0,100.0,,,6,1.0,5,1300,100.0,1200,1125800,13510.0
26/09/2024,33900000,33900000,14800,17000,12600,205,3.0,461,13600,13600,13600,13600,-,13600,13600,-1200.0,-8.11,217,100,2395.0,95.0,205.0,3.0,12,3.0,9,2600,300.0,2300,-,
25/09/2024,33900000,33900000,16200,18600,13800,1200,18.0,502,14900,14800,14900,14800,100,14825,14800,-1400.0,-8.64,193,433,1500.0,100.0,1200.0,18.0,14,3.0,11,2700,1300.0,1400,-,
24/09/2024,33900000,33900000,16200,18600,13800,-,,549,16200,16200,16200,16200,-,16200,16200,,,220,150,1100.0,300.0,,,5,2.0,3,1100,300.0,800,-,
23/09/2024,33900000,33900000,16200,18600,13800,-,,549,16200,16200,16200,16200,-,16200,16200,,,217,-,1300.0,,,,6,,6,1300,,1300,-,
20/09/2024,33900000,33900000,16200,18600,13800,100,2.0,549,16200,16200,16200,16200,-,16200,16200,,,271,125,1800.0,400.0,100.0,2.0,7,4.0,3,1900,500.0,1400,-,
19/09/2024,33900000,33900000,16200,18600,13800,-,,549,16200,16200,16200,16200,-,16200,16200,,,317,250,1900.0,500.0,,,6,2.0,4,1900,500.0,1400,-,
18/09/2024,33900000,33900000,16200,18600,13800,-,,549,16200,16200,16200,16200,-,16200,16200,,,217,200,1300.0,200.0,,,6,1.0,5,1300,200.0,1100,-,
17/09/2024,33900000,33900000,16200,18600,13800,-,,549,16200,16200,16200,16200,-,16200,16200,,,220,150,1100.0,300.0,,,5,2.0,3,1100,300.0,800,-,
16/09/2024,33900000,33900000,16200,18600,13800,-,,549,16200,16200,16200,16200,-,16200,16200,,,275,200,1100.0,200.0,,,4,1.0,3,1100,200.0,900,-,
13/09/2024,33900000,33900000,16200,18600,13800,-,,549,16200,16200,16200,16200,-,16200,16200,,,317,100,1900.0,100.0,,,6,1.0,5,1900,100.0,1800,-,
12/09/2024,33900000,33900000,16200,18600,13800,-,,549,16200,16200,16200,16200,-,16200,16200,,,329,-,2300.0,,,,7,,7,2300,,2300,-,
11/09/2024,33900000,33900000,16300,18700,13900,200,3.0,549,16200,16200,16200,16200,-,16200,16200,-100.0,-0.61,350,100,1900.0,100.0,200.0,3.0,6,3.0,3,2100,300.0,1800,-,
10/09/2024,33900000,33900000,16300,18700,13900,-,,553,16300,16300,16300,16300,-,16300,16300,,,250,-,1500.0,,,,6,,6,1500,,1500,-,
09/09/2024,33900000,33900000,16400,18800,14000,100,2.0,553,16300,16300,16300,16300,-,16300,16300,-100.0,-0.61,200,100,1300.0,,100.0,2.0,7,1.0,6,1400,100.0,1300,-,
06/09/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,260,700,1300.0,700.0,,,5,1.0,4,1300,700.0,600,-,
05/09/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,220,100,1100.0,100.0,,,5,1.0,4,1100,100.0,1000,-,
04/09/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,271,200,1900.0,200.0,,,7,1.0,6,1900,200.0,1700,-,
30/08/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,275,100,1100.0,100.0,,,4,1.0,3,1100,100.0,1000,-,
29/08/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,280,100,1400.0,100.0,,,5,1.0,4,1400,100.0,1300,-,
28/08/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,429,300,3000.0,300.0,,,7,1.0,6,3000,300.0,2700,-,
27/08/2024,33900000,33900000,16400,18800,14000,688220,9773.0,556,16400,16400,16400,16400,-,16400,16400,,,360,100,1800.0,100.0,,,5,1.0,4,1800,100.0,1700,688220,9773.0
26/08/2024,33900000,33900000,16400,18800,14000,20,0.0,556,16400,16400,16400,16400,-,16400,16400,,,280,600,1380.0,580.0,20.0,0.0,5,1.0,4,1400,600.0,800,-,
23/08/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,250,-,1000.0,,,,4,,4,1000,,1000,-,
22/08/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,320,-,1600.0,,,,5,,5,1600,,1600,-,
21/08/2024,33900000,33900000,16400,18800,14000,1,0.0,556,16400,16400,16400,16400,-,16400,16400,,,660,-,3299.0,,1.0,0.0,5,,5,3300,,3300,-,
20/08/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,420,300,2100.0,300.0,,,5,1.0,4,2100,300.0,1800,-,
19/08/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,286,150,2000.0,300.0,,,7,2.0,5,2000,300.0,1700,-,
16/08/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,300,100,1200.0,200.0,,,4,2.0,2,1200,200.0,1000,-,
15/08/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,240,-,1200.0,,,,5,,5,1200,,1200,-,
14/08/2024,33900000,33900000,16400,18800,14000,100,2.0,556,16400,16400,16400,16400,-,16400,16400,,,357,100,2400.0,100.0,100.0,2.0,7,2.0,5,2500,200.0,2300,-,
13/08/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,400,200,2400.0,400.0,,,6,2.0,4,2400,400.0,2000,-,
12/08/2024,33900000,33900000,16400,18800,14000,2,0.0,556,16400,16300,16400,16400,-,16400,16400,-100.0,-0.61,460,200,2298.0,198.0,2.0,0.0,5,1.0,4,2300,200.0,2100,-,
09/08/2024,33900000,33900000,16400,18800,14000,3,0.0,556,16400,16300,16400,16400,-,16400,16400,-100.0,-0.61,420,100,2097.0,397.0,3.0,0.0,5,4.0,1,2100,400.0,1700,-,
08/08/2024,33900000,33900000,16400,18800,14000,620,10.0,553,16400,16300,16400,16300,100,16350,16300,-100.0,-0.61,457,350,2580.0,80.0,620.0,10.0,7,2.0,5,3200,700.0,2500,-,
07/08/2024,33900000,33900000,16400,18800,14000,-,,556,16400,16400,16400,16400,-,16400,16400,,,500,100,2500.0,100.0,,,5,1.0,4,2500,100.0,2400,-,
06/08/2024,33900000,33900000,16600,19000,14200,4800,79.0,563,16600,16600,16700,16300,400,16423,16600,,,433,1350,1700.0,600.0,4800.0,79.0,15,4.0,11,6500,5400.0,1100,-,
05/08/2024,33900000,33900000,16700,19200,14200,1802,30.0,556,16700,16400,16700,16400,300,16550,16400,-300.0,-1.8,433,867,798.0,798.0,1802.0,30.0,6,3.0,3,2600,2600.0,-,-,
02/08/2024,33900000,33900000,16700,19200,14200,1300,22.0,563,16700,16600,16700,16600,100,16662,16600,-100.0,-0.6,567,145,3800.0,300.0,1300.0,22.0,9,11.0,-2,5100,1600.0,3500,-,
01/08/2024,33900000,33900000,16800,19300,14300,2900,48.0,556,17100,16400,17100,16400,700,16662,16400,-400.0,-2.38,414,1163,,6400.0,2900.0,48.0,7,8.0,-1,2900,9300.0,-6400,-,
31/07/2024,33900000,33900000,16800,19300,14300,-,,570,16800,16800,16800,16800,-,16800,16800,,,390,800,3900.0,2400.0,,,10,3.0,7,3900,2400.0,1500,-,
30/07/2024,33900000,33900000,16800,19300,14300,2200,37.0,566,17000,16700,17000,16700,300,16800,16700,-100.0,-0.6,457,338,1000.0,500.0,2200.0,37.0,7,8.0,-1,3200,2700.0,500,-,
29/07/2024,33900000,33900000,16800,19300,14300,-,,570,16800,16800,16800,16800,-,16800,16800,,,643,117,4500.0,700.0,,,7,6.0,1,4500,700.0,3800,-,
26/07/2024,33900000,33900000,16900,19400,14400,2700,45.0,566,16900,16700,16900,16700,200,16774,16700,-200.0,-1.18,629,600,1700.0,1500.0,2700.0,45.0,7,7.0,-,4400,4200.0,200,-,
25/07/2024,33900000,33900000,16900,19400,14400,951700,14276.0,573,16900,16900,16900,16900,-,16900,16900,,,550,250,3300.0,500.0,,,6,2.0,4,3300,500.0,2800,951700,14276.0
