Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,10000000,10000000,11800,13500,10100,14100,163.0,117,11600,11700,11700,11400,300,11533,11700,-100.0,-0.85,1061,1224,18800,31200,14100.0,163.0,31,37,-6,32900,45300,-12400,-,
26/09/2024,10000000,10000000,11800,13500,10100,6500,77.0,118,12600,11800,12600,11600,1000,11791,11800,,,390,1302,9500,58600,6500.0,77.0,41,50,-9,16000,65100,-49100,-,
25/09/2024,10000000,10000000,13000,14900,11100,4900,64.0,130,13100,13000,13100,12900,200,12998,11800,,,337,1400,9600,23100,4900.0,64.0,43,20,23,14500,28000,-13500,-,
24/09/2024,10000000,10000000,13000,14900,11100,15500,202.0,130,13100,13000,13100,13000,100,13010,11800,,,602,1197,14000,22800,15500.0,202.0,49,32,17,29500,38300,-8800,-,
23/09/2024,10000000,10000000,12900,14800,11000,15800,206.0,131,13000,13100,13100,13000,100,13007,11900,200.0,1.55,584,1648,16900,28700,15800.0,206.0,56,27,29,32700,44500,-11800,-,
20/09/2024,10000000,10000000,12900,14800,11000,7700,100.0,130,13000,13000,13000,12900,100,12940,11800,100.0,0.78,538,1303,16500,30100,7700.0,100.0,45,29,16,24200,37800,-13600,-,
19/09/2024,10000000,10000000,13000,14900,11100,5200,67.0,130,13000,13000,13000,12800,200,12935,11800,,,503,1159,13400,26100,5200.0,67.0,37,27,10,18600,31300,-12700,-,
18/09/2024,10000000,10000000,13000,14900,11100,3900,51.0,130,13000,13000,13000,12900,100,12959,11800,,,486,600,10200,11700,3900.0,51.0,29,26,3,14100,15600,-1500,-,
17/09/2024,10000000,10000000,13100,15000,11200,7900,103.0,130,13100,13000,13100,13000,100,13004,11800,-100.0,-0.76,1189,1204,24200,22200,7900.0,103.0,27,25,2,32100,30100,2000,-,
16/09/2024,10000000,10000000,12800,14700,10900,6700,88.0,129,13100,12900,13200,12900,300,13115,11700,100.0,0.78,581,1182,14800,32300,6700.0,88.0,37,33,4,21500,39000,-17500,-,
13/09/2024,10000000,10000000,12900,14800,11000,10100,130.0,129,12800,12900,12900,12600,300,12841,11700,,,468,1060,13300,21700,10100.0,130.0,50,30,20,23400,31800,-8400,-,
12/09/2024,10000000,10000000,12800,14700,10900,1100,14.0,129,12900,12900,12900,12900,-,12900,11700,100.0,0.78,400,1232,10900,26000,1100.0,14.0,30,22,8,12000,27100,-15100,-,
11/09/2024,10000000,10000000,12900,14800,11000,16700,214.0,128,12900,12800,12900,12700,200,12798,11600,-100.0,-0.78,605,1110,9300,17700,16700.0,214.0,43,31,12,26000,34400,-8400,-,
10/09/2024,10000000,10000000,13000,14900,11100,8400,108.0,127,13100,12700,13100,12700,400,12904,11500,-300.0,-2.31,478,1021,6900,25300,8400.0,108.0,32,33,-1,15300,33700,-18400,-,
09/09/2024,10000000,10000000,13100,15000,11200,16104,209.0,128,13100,12800,13100,12800,300,12999,11600,-300.0,-2.29,633,1383,10496,25396,16104.0,209.0,42,30,12,26600,41500,-14900,-,
06/09/2024,10000000,10000000,13100,15000,11200,2200,29.0,131,13000,13100,13100,13000,100,13082,11900,,,552,1705,10500,33600,2200.0,29.0,23,21,2,12700,35800,-23100,-,
05/09/2024,10000000,10000000,13100,15000,11200,5700,75.0,132,13100,13200,13200,13000,200,13089,12000,100.0,0.76,1326,1919,30100,46100,5700.0,75.0,27,27,-,35800,51800,-16000,-,
04/09/2024,10000000,10000000,13300,15200,11400,100,1.0,131,13100,13100,13100,13100,-,13100,11900,-200.0,-1.5,1132,1809,21400,39700,100.0,1.0,19,22,-3,21500,39800,-18300,-,
30/08/2024,10000000,10000000,13300,15200,11400,-,,133,13300,13300,13300,13300,-,13300,12100,,,983,1548,17700,35600,,,18,23,-5,17700,35600,-17900,-,
29/08/2024,10000000,10000000,13300,15200,11400,-,,133,13300,13300,13300,13300,-,13300,12100,,,2211,1196,39800,31100,,,18,26,-8,39800,31100,8700,-,
