Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,27026907,27026907,15500,17800,13200,-,,419,15500,15500,15500,15500,-,15500,15500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
26/09/2024,27026907,27026907,15500,17800,13200,-,,419,15500,15500,15500,15500,-,15500,15500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
25/09/2024,27026907,27026907,15500,17800,13200,-,,419,15500,15500,15500,15500,-,15500,15500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
24/09/2024,27026907,27026907,15500,17800,13200,-,,419,15500,15500,15500,15500,-,15500,15500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
23/09/2024,27026907,27026907,15500,17800,13200,4,0.0,419,15500,15500,15500,15500,-,15500,15500,,,100,-,96.0,,4.0,0.0,1.0,,1,100.0,,100,-,
20/09/2024,27026907,27026907,15500,17800,13200,1,0.0,419,15500,15500,15500,15500,-,15500,15500,,,100,600,99.0,599.0,1.0,0.0,1.0,1.0,-,100.0,600.0,-500,-,
19/09/2024,27026907,27026907,15500,17800,13200,-,,419,15500,15500,15500,15500,-,15500,15500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
18/09/2024,27026907,27026907,15500,17800,13200,-,,419,15500,15500,15500,15500,-,15500,15500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
17/09/2024,27026907,27026907,15500,17800,13200,-,,419,15500,15500,15500,15500,-,15500,15500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
16/09/2024,27026907,27026907,15500,17800,13200,-,,419,15500,15500,15500,15500,-,15500,15500,,,100,600,100.0,600.0,,,1.0,1.0,-,100.0,600.0,-500,-,
13/09/2024,27026907,27026907,15500,17800,13200,-,,419,15500,15500,15500,15500,-,15500,15500,,,100,600,100.0,600.0,,,1.0,1.0,-,100.0,600.0,-500,-,
