Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,71405689,71403929,6900,7900,5900,50685,348,507,7000,7100,7100,6800,300,6858,7100,200.0,2.9,1183,2781,19115,49415,50685,348,59,36,23,69800,100100,-30300,-,
26/09/2024,71405689,71403929,7000,8000,6000,17410,120,493,7200,6900,7200,6800,400,6904,6900,-100.0,-1.43,836,2485,19390,67090,17410,120,44,34,10,36800,84500,-47700,-,
25/09/2024,71405689,71403929,7200,8200,6200,13380,94,500,7300,7000,7300,7000,300,7005,7000,-200.0,-2.78,618,2440,10120,96420,13380,94,38,45,-7,23500,109800,-86300,-,
24/09/2024,71405689,71403929,7300,8300,6300,1400,10,507,7100,7100,7200,7100,100,7186,7100,-200.0,-2.74,516,1348,8400,60600,1400,10,19,46,-27,9800,62000,-52200,-,
23/09/2024,71405689,71403929,7300,8300,6300,1000,7,514,8300,7200,8300,7200,1100,7320,7200,-100.0,-1.37,353,1388,5000,76700,1000,7,17,56,-39,6000,77700,-71700,-,
20/09/2024,71405689,71403929,7200,8200,6200,13170,96,514,7300,7200,7300,7100,200,7253,7200,,,741,1647,8330,49430,13170,96,29,38,-9,21500,62600,-41100,-,
19/09/2024,71405689,71403929,7300,8300,6300,400,3,514,7100,7200,7200,7100,100,7150,7200,-100.0,-1.37,456,1900,6900,52800,400,3,16,28,-12,7300,53200,-45900,-,
18/09/2024,71405689,71403929,6900,7900,5900,3501,25,500,7300,7000,7400,7000,400,7274,7000,100.0,1.45,664,1390,11099,52099,3501,25,22,40,-18,14600,55600,-41000,-,
17/09/2024,71405689,71403929,7200,8200,6200,50201,347,514,6900,7200,7200,6800,400,6913,7200,,,1728,3919,17199,51699,50201,347,39,26,13,67400,101900,-34500,-,
16/09/2024,71405689,71403929,7100,8100,6100,1000,7,514,7200,7200,7200,7200,-,7200,7200,100.0,1.41,592,3686,6100,102200,1000,7,12,28,-16,7100,103200,-96100,-,
13/09/2024,71405689,71403929,6800,7800,5800,200,1,507,7100,7100,7100,7100,-,7100,7100,300.0,4.41,511,1777,9500,22900,200,1,19,13,6,9700,23100,-13400,-,
12/09/2024,71405689,71403929,7000,8000,6000,2808,19,507,7000,7100,7100,6800,300,6846,7100,100.0,1.43,635,1450,7992,17492,2808,19,17,14,3,10800,20300,-9500,-,
11/09/2024,71405689,71403929,7100,8100,6100,738,5,507,7000,7100,7100,7000,100,7014,7100,,,620,2000,11662,17262,738,5,20,9,11,12400,18000,-5600,-,
