Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,14299880,14299880,11300,12050,10550,100,1.0,163,11400,11400,11400,11400,-,10000.0,11400,100.0,0.88,3217,362,19100,4600,100.0,1.0,6.0,13.0,-7,19300.0,4700.0,14600,-,
26/09/2024,14299880,14299880,11300,12050,10550,300,3.0,162,11250,11300,11300,11250,50,10000.0,11300,,,2914,908,19900,5500,300.0,3.0,7.0,12.0,-5,20400.0,10900.0,9500,-,
25/09/2024,14299880,14299880,11300,12050,10550,900,10.0,162,11300,11300,11300,11300,-,11111.0,11300,,,5000,17943,19100,124700,900.0,10.0,4.0,7.0,-3,20000.0,125600.0,-105600,-,
24/09/2024,14299880,14299880,11300,12050,10550,200,2.0,162,11300,11300,11300,11300,-,10000.0,11300,,,2575,725,10100,2300,200.0,2.0,4.0,8.0,-4,10300.0,5800.0,4500,-,
23/09/2024,14299880,14299880,10800,11550,10050,400,4.0,162,11300,11300,11300,11300,-,10000.0,11300,500.0,4.63,160,200,1100,900,400.0,4.0,10.0,18.0,-8,1600.0,3600.0,-2000,-,
20/09/2024,14299880,14299880,10800,11550,10050,-,,154,10800,10800,10800,10800,-,,10800,,,2550,900,10100,3600,,,4.0,4.0,-,10200.0,3600.0,6600,-,
19/09/2024,14299880,14299880,10800,11550,10050,200,2.0,154,10800,10800,10800,10800,-,10000.0,10800,,,2425,300,18900,3300,200.0,2.0,8.0,12.0,-4,19400.0,3600.0,15800,-,
18/09/2024,14299880,14299880,10800,11550,10050,-,,154,10800,10800,10800,10800,-,,10800,,,3471,740,19100,3600,,,7.0,5.0,2,24300.0,3700.0,20600,-,
17/09/2024,14299880,14299880,10800,11550,10050,-,,154,10800,10800,10800,10800,-,,10800,,,2425,1220,19100,3000,,,8.0,5.0,3,19400.0,6100.0,13300,-,
16/09/2024,14299880,14299880,11000,11750,10250,6000,64.0,154,10800,10800,10800,10800,-,10667.0,10800,-200.0,-1.82,5040,15744,19200,3600,6000.0,64.0,5.0,9.0,-4,25200.0,141700.0,-116500,-,
13/09/2024,14299880,14299880,11000,11750,10250,-,,157,11000,11000,11000,11000,-,,11000,,,1700,1000,5100,3900,,,3.0,4.0,-1,5100.0,4000.0,1100,-,
12/09/2024,14299880,14299880,10800,11550,10050,100,1.0,157,11000,11000,11000,11000,-,10000.0,11000,200.0,1.85,1060,750,5100,2900,100.0,1.0,5.0,8.0,-3,5300.0,6000.0,-700,-,
11/09/2024,14299880,14299880,10800,11550,10050,5700,61.0,154,10800,10800,10800,10800,-,10702.0,10800,,,2900,933,11100,4100,5700.0,61.0,10.0,12.0,-2,29000.0,11200.0,17800,-,
10/09/2024,14299880,14299880,10800,11550,10050,1300,14.0,154,10800,10800,10800,10800,-,10769.0,10800,,,2040,950,8700,2500,1300.0,14.0,5.0,4.0,1,10200.0,3800.0,6400,-,
09/09/2024,14299880,14299880,10800,11550,10050,-,,154,10800,10800,10800,10800,-,,10800,,,3383,1133,20100,3400,,,6.0,3.0,3,20300.0,3400.0,16900,-,
06/09/2024,14299880,14299880,11000,11750,10250,300,3.0,154,10800,10800,10800,10800,-,10000.0,10800,-200.0,-1.82,927,636,9700,2100,300.0,3.0,11.0,11.0,-,10200.0,7000.0,3200,-,
05/09/2024,14299880,14299880,10800,11550,10050,400,4.0,157,10800,11000,11000,10800,200,10000.0,11000,200.0,1.85,2813,438,19800,3000,400.0,4.0,8.0,8.0,-,22500.0,3500.0,19000,-,
04/09/2024,14299880,14299880,10800,11550,10050,2700,29.0,154,10800,10800,10800,10800,-,10741.0,10800,,,2240,950,8400,4300,2700.0,29.0,5.0,12.0,-7,11200.0,11400.0,-200,-,
30/08/2024,14299880,14299880,11200,11950,10450,400,4.0,154,10800,10800,10800,10800,-,10000.0,10800,-400.0,-3.57,2020,2080,9700,10000,400.0,4.0,5.0,5.0,-,10100.0,10400.0,-300,-,
29/08/2024,14299880,14299880,10550,11250,9820,100,1.0,160,11200,11200,11200,11200,-,10000.0,11200,650.0,6.16,1771,380,10100,1800,100.0,1.0,7.0,5.0,2,12400.0,1900.0,10500,-,
28/08/2024,14299880,14299880,11050,11800,10300,600,6.0,158,11050,11050,11050,11050,-,10000.0,10500,,,1756,214,12200,800,600.0,6.0,9.0,7.0,2,15800.0,1500.0,14300,-,
27/08/2024,14299880,14299880,11000,11750,10250,300,3.0,158,11050,11050,11050,11050,-,10000.0,10500,50.0,0.45,1956,230,12800,1600,300.0,3.0,16.0,10.0,6,31300.0,2300.0,29000,-,
26/08/2024,14299880,14299880,11000,11750,10250,-,,157,11000,11000,11000,11000,-,,10500,,,1382,471,11800,500,,,11.0,7.0,4,15200.0,3300.0,11900,-,
23/08/2024,14299880,14299880,11000,11750,10250,-,,157,11000,11000,11000,11000,-,,10500,,,2471,383,13000,2100,,,7.0,6.0,1,17300.0,2300.0,15000,-,
22/08/2024,14299880,14299880,11150,11900,10400,400,4.0,157,11000,11000,11000,11000,-,10000.0,10500,-150.0,-1.35,1500,243,12800,2200,400.0,4.0,9.0,14.0,-5,13500.0,3400.0,10100,-,
21/08/2024,14299880,14299880,11200,11950,10450,100,1.0,159,11150,11150,11150,11150,-,10000.0,10600,-50.0,-0.45,1220,245,11700,1000,100.0,1.0,10.0,11.0,-1,12200.0,2700.0,9500,-,
20/08/2024,14299880,14299880,11900,12700,11100,500,5.0,160,11900,11200,11900,11200,700,10000.0,10700,-700.0,-5.88,356,547,2600,6800,500.0,5.0,9.0,15.0,-6,3200.0,8200.0,-5000,-,
19/08/2024,14299880,14299880,11200,11950,10450,200,2.0,170,11900,11900,11900,11900,-,10000.0,11400,700.0,6.25,942,1520,10500,14900,200.0,2.0,12.0,10.0,2,11300.0,15200.0,-3900,-,
16/08/2024,14299880,14299880,11200,11950,10450,-,,160,11200,11200,11200,11200,-,,10700,,,1563,500,12400,6300,,,8.0,13.0,-5,12500.0,6500.0,6000,-,
15/08/2024,14299880,14299880,11000,11750,10250,2100,23.0,160,11000,11200,11200,11000,200,10952.0,10700,200.0,1.82,1756,1000,13700,6900,2100.0,23.0,9.0,9.0,-,15800.0,9000.0,6800,-,
14/08/2024,14299880,14299880,11000,11750,10250,-,,157,11000,11000,11000,11000,-,,10500,,,2140,667,10700,2000,,,5.0,3.0,2,10700.0,2000.0,8700,-,
13/08/2024,14299880,14299880,11000,11750,10250,5000,55.0,157,11000,11000,11000,11000,-,11000.0,10500,,,908,2575,6800,5300,5000.0,55.0,13.0,4.0,9,11800.0,10300.0,1500,-,
12/08/2024,14299880,14299880,11000,11750,10250,2800,30.0,157,10800,11000,11000,10800,200,10714.0,10500,,,2625,767,18200,4100,2800.0,30.0,8.0,9.0,-1,21000.0,6900.0,14100,-,
09/08/2024,14299880,14299880,11000,11750,10250,1000,11.0,157,11000,11000,11000,11000,-,11000.0,10500,,,4340,400,20700,1000,1000.0,11.0,5.0,5.0,-,21700.0,2000.0,19700,-,
08/08/2024,14299880,14299880,11000,11750,10250,1000,11.0,157,11000,11000,11000,11000,-,11000.0,10500,,,3533,582,9600,5400,1000.0,11.0,3.0,11.0,-8,10600.0,6400.0,4200,-,
07/08/2024,14299880,14299880,11000,11750,10250,220400,2259.0,157,11000,11000,11000,11000,-,10000.0,10500,,,233,150,300,1100,400.0,4.0,3.0,10.0,-7,700.0,1500.0,-800,220000,2255.0
06/08/2024,14299880,14299880,11000,11750,10250,100,1.0,157,11000,11000,11000,11000,-,10000.0,10500,,,150,486,500,3300,100.0,1.0,4.0,7.0,-3,600.0,3400.0,-2800,-,
05/08/2024,14299880,14299880,11000,11750,10250,200,2.0,157,11000,11000,11000,11000,-,10000.0,10500,,,200,131,600,1500,200.0,2.0,4.0,13.0,-9,800.0,1700.0,-900,-,
02/08/2024,14299880,14299880,11000,11750,10250,1500,16.0,157,11000,11000,11000,11000,-,10667.0,10500,,,383,440,800,700,1500.0,16.0,6.0,5.0,1,2300.0,2200.0,100,-,
01/08/2024,14299880,14299880,11000,11750,10250,7400,81.0,157,11000,11000,11000,11000,-,10946.0,10500,,,1467,790,1400,500,7400.0,81.0,6.0,10.0,-4,8800.0,7900.0,900,-,
31/07/2024,14299880,14299880,11000,11750,10250,-,,157,11000,11000,11000,11000,-,,10500,,,4400,600,8800,3600,,,2.0,6.0,-4,8800.0,3600.0,5200,-,
30/07/2024,14299880,14299880,11000,11750,10250,3500,38.0,157,11000,11000,11000,11000,-,10857.0,10500,,,2033,760,8700,300,3500.0,38.0,6.0,5.0,1,12200.0,3800.0,8400,-,
29/07/2024,14299880,14299880,10800,11550,10050,1000,11.0,157,11000,11000,11000,11000,-,11000.0,10500,200.0,1.85,2640,283,12200,700,1000.0,11.0,5.0,6.0,-1,13200.0,1700.0,11500,-,
26/07/2024,14299880,14299880,10800,11550,10050,-,,154,10800,10800,10800,10800,-,,10300,,,1040,175,5200,700,,,5.0,4.0,1,5200.0,700.0,4500,-,
25/07/2024,14299880,14299880,10800,11550,10050,200,2.0,154,10800,10800,10800,10800,-,10000.0,10300,,,1675,183,13200,900,200.0,2.0,8.0,6.0,2,13400.0,1100.0,12300,-,
24/07/2024,14299880,14299880,11000,11750,10250,30500,344.0,154,11200,10800,11300,10800,500,11279.0,10300,-200.0,-1.82,4786,1856,3000,2900,30500.0,344.0,7.0,18.0,-11,33500.0,33400.0,100,-,
23/07/2024,14299880,14299880,11000,11750,10250,200,2.0,157,11000,11000,11000,11000,-,10000.0,10500,,,5050,175,20000,500,200.0,2.0,4.0,4.0,-,20200.0,700.0,19500,-,
22/07/2024,14299880,14299880,11000,11750,10250,-,,157,11000,11000,11000,11000,-,,10500,,,5100,567,10200,3400,,,2.0,6.0,-4,10200.0,3400.0,6800,-,
19/07/2024,14299880,14299880,11050,11800,10300,1000,11.0,157,11000,11000,11000,11000,-,11000.0,10500,-50.0,-0.45,1486,475,9400,900,1000.0,11.0,7.0,4.0,3,10400.0,1900.0,8500,-,
18/07/2024,14299880,14299880,11200,11950,10450,100,1.0,158,11050,11050,11050,11050,-,10000.0,10500,-150.0,-1.34,1471,117,10200,600,100.0,1.0,7.0,6.0,1,10300.0,700.0,9600,-,
17/07/2024,14299880,14299880,11200,11950,10450,1300,14.0,160,11200,11200,11200,11200,-,10769.0,10700,,,3300,300,21800,500,1300.0,14.0,7.0,6.0,1,23100.0,1800.0,21300,-,
16/07/2024,14299880,14299880,11000,11750,10250,100,1.0,160,11200,11200,11200,11200,-,10000.0,10700,200.0,1.82,283,150,1600,1400,100.0,1.0,6.0,10.0,-4,1700.0,1500.0,200,-,
15/07/2024,14299880,14299880,11200,11950,10450,2000,22.0,157,11300,11000,11300,11000,300,11000.0,10500,-200.0,-1.79,292,275,1500,1300,2000.0,22.0,12.0,12.0,-,3500.0,3300.0,200,-,
12/07/2024,14299880,14299880,11000,11750,10250,900,10.0,160,11300,11200,11300,11000,300,11111.0,10700,200.0,1.82,513,222,3200,1100,900.0,10.0,8.0,9.0,-1,4100.0,2000.0,2100,-,
11/07/2024,14299880,14299880,11000,11750,10250,500,5.0,157,11000,11000,11000,11000,-,10000.0,10500,,,1300,289,3400,2100,500.0,5.0,3.0,9.0,-6,3900.0,2600.0,1300,-,
10/07/2024,14299880,14299880,11000,11750,10250,-,,157,11000,11000,11000,11000,-,,10500,,,1125,583,4500,3500,,,4.0,6.0,-2,4500.0,3500.0,1000,-,
09/07/2024,14299880,14299880,11350,12100,10600,2100,23.0,157,11050,11000,11050,11000,50,10952.0,10500,-350.0,-3.08,1050,1120,3900,5700,2100.0,23.0,6.0,10.0,-4,6300.0,11200.0,-4900,-,
08/07/2024,14299880,14299880,11000,11750,10250,1100,12.0,162,11350,11350,11350,11350,-,10909.0,10800,350.0,3.18,925,636,6100,4100,1100.0,12.0,8.0,11.0,-3,7400.0,7000.0,400,-,
05/07/2024,14299880,14299880,11100,11850,10350,1200,13.0,157,11000,11000,11000,11000,-,10833.0,10500,-100.0,-0.9,1400,638,7100,400,1200.0,13.0,6.0,8.0,-2,8400.0,5100.0,3300,-,
04/07/2024,14299880,14299880,11100,11850,10350,-,,159,11100,11100,11100,11100,-,,10600,,,1383,320,8100,2400,,,6.0,10.0,-4,8300.0,3200.0,5100,-,
03/07/2024,14299880,14299880,11050,11800,10300,1100,12.0,159,11100,11100,11150,11100,50,10909.0,10600,50.0,0.45,960,308,8400,900,1100.0,12.0,10.0,12.0,-2,9600.0,3700.0,5900,-,
02/07/2024,14299880,14299880,11050,11800,10300,-,,158,11050,11050,11050,11050,-,,10500,,,1186,420,8200,2400,,,7.0,10.0,-3,8300.0,4200.0,4100,-,
01/07/2024,14299880,14299880,11050,11800,10300,-,,158,11050,11050,11050,11050,-,,10500,,,1775,346,6900,3200,,,4.0,13.0,-9,7100.0,4500.0,2600,-,
28/06/2024,14299880,14299880,11200,11950,10450,500,5.0,158,11200,11050,11200,11050,150,10000.0,10500,-150.0,-1.34,593,293,8000,2900,500.0,5.0,15.0,15.0,-,8900.0,4400.0,4500,-,
27/06/2024,14299880,14299880,11000,11750,10250,100,1.0,160,11200,11200,11200,11200,-,10000.0,10700,200.0,1.82,850,1647,8000,4200,100.0,1.0,10.0,17.0,-7,8500.0,28000.0,-19500,-,
26/06/2024,14299880,14299880,11000,11750,10250,1700,18.0,157,11000,11000,11000,11000,-,10588.0,10500,,,2000,531,7500,2400,1700.0,18.0,9.0,13.0,-4,18000.0,6900.0,11100,-,
25/06/2024,14299880,14299880,11100,11850,10350,7000,77.0,157,11100,11000,11100,11000,100,11000.0,10500,-100.0,-0.9,2592,755,8400,5800,7000.0,77.0,12.0,20.0,-8,31100.0,15100.0,16000,-,
24/06/2024,14299880,14299880,11400,12150,10650,21200,233.0,159,11400,11100,11400,11000,400,10991.0,10600,-300.0,-2.63,1567,1833,15300,8300,21200.0,233.0,24.0,18.0,6,37600.0,33000.0,4600,-,
21/06/2024,14299880,14299880,11400,12150,10650,1600,18.0,163,11400,11400,11400,10800,600,11250.0,10900,,,206,353,1000,1900,1600.0,18.0,32.0,15.0,17,6600.0,5300.0,1300,-,
20/06/2024,14299880,14299880,11500,12300,10700,200,2.0,163,11400,11400,11400,11400,-,10000.0,10900,-100.0,-0.87,3714,490,25700,3400,200.0,2.0,7.0,20.0,-13,26000.0,9800.0,16200,-,
19/06/2024,14299880,14299880,11000,11750,10250,300,3.0,164,11100,11500,11500,11000,500,10000.0,11000,500.0,4.55,2453,688,35600,11100,300.0,3.0,15.0,17.0,-2,36800.0,11700.0,25100,-,
18/06/2024,14299880,14299880,11200,11950,10450,400,4.0,157,11100,11000,11100,11000,100,10000.0,10500,-200.0,-1.79,3558,363,30600,600,400.0,4.0,12.0,16.0,-4,42700.0,5800.0,36900,-,
17/06/2024,14299880,14299880,11500,12300,10700,700,7.0,160,11500,11200,11500,11000,500,10000.0,10700,-300.0,-2.61,2423,685,30200,2800,700.0,7.0,13.0,27.0,-14,31500.0,18500.0,13000,-,
14/06/2024,14299880,14299880,11200,11950,10450,1600,18.0,164,11200,11500,11500,11200,300,11250.0,11000,300.0,2.68,1444,738,10800,7200,1600.0,18.0,9.0,26.0,-17,13000.0,19200.0,-6200,-,
13/06/2024,14299880,14299880,10850,11600,10100,700,7.0,160,10500,11200,11200,10500,700,10000.0,10700,350.0,3.23,1917,613,30100,4200,700.0,7.0,24.0,8.0,16,46000.0,4900.0,41100,-,
12/06/2024,14299880,14299880,11150,11900,10400,11300,123.0,155,10900,10850,10900,10850,50,10885.0,10400,-300.0,-2.69,4692,1300,30200,1900,11300.0,123.0,12.0,11.0,1,56300.0,14300.0,42000,-,
11/06/2024,14299880,14299880,11150,11900,10400,-,,159,11150,11150,11150,11150,-,,10600,,,1055,222,11600,2000,,,11.0,9.0,2,11600.0,2000.0,9600,-,
10/06/2024,14299880,14299880,10500,11200,9770,400,4.0,159,10600,11150,11200,10600,600,10000.0,10600,650.0,6.19,2642,593,31300,7900,400.0,4.0,12.0,14.0,-2,31700.0,8300.0,23400,-,
07/06/2024,14299880,14299880,11000,11750,10250,16200,178.0,150,11000,10500,11700,10500,1200,10988.0,10000,-500.0,-4.55,752,1050,1100,11100,16200.0,178.0,23.0,26.0,-3,17300.0,27300.0,-10000,-,
06/06/2024,14299880,14299880,10800,11550,10050,27600,303.0,157,11000,11000,11000,10950,50,10978.0,10500,200.0,1.85,2908,1057,10200,2000,27600.0,303.0,13.0,28.0,-15,37800.0,29600.0,8200,-,
05/06/2024,14299880,14299880,10700,11400,9960,4600,49.0,154,10250,10800,10800,10250,550,10652.0,10300,100.0,0.93,3389,486,25900,2200,4600.0,49.0,9.0,14.0,-5,30500.0,6800.0,23700,-,
04/06/2024,14299880,14299880,10700,11400,9960,8800,94.0,153,11200,10700,11200,10700,500,10682.0,10200,,,4550,1316,36700,16200,8800.0,94.0,10.0,19.0,-9,45500.0,25000.0,20500,-,
03/06/2024,14299880,14299880,10300,11000,9580,41100,437.0,153,10400,10700,10700,10400,300,10633.0,10200,400.0,3.88,4031,1991,11300,4700,41100.0,437.0,13.0,23.0,-10,52400.0,45800.0,6600,-,
31/05/2024,14299880,14299880,10300,11000,9580,-,,147,10300,10300,10300,10300,-,,9800,,,1700,417,10200,2500,,,6.0,6.0,-,10200.0,2500.0,7700,-,
30/05/2024,14299880,14299880,10100,10800,9400,4100,41.0,147,10100,10300,10300,10100,200,10000.0,9800,200.0,1.98,1393,980,11100,5700,4100.0,41.0,14.0,10.0,4,19500.0,9800.0,9700,-,
29/05/2024,14299880,14299880,10100,10800,9400,-,,144,10100,10100,10100,10100,-,,9600,,,1243,813,8700,3600,,,7.0,8.0,-1,8700.0,6500.0,2200,-,
28/05/2024,14299880,14299880,10000,10700,9300,6400,64.0,144,10000,10100,10100,10000,100,10000.0,9600,100.0,1.0,1593,742,15800,1100,6400.0,64.0,14.0,19.0,-5,22300.0,14100.0,8200,-,
27/05/2024,14299880,14299880,10100,10800,9400,2700,27.0,143,10150,10000,10150,10000,150,10000.0,9500,-100.0,-0.99,1820,1050,14400,2100,2700.0,27.0,10.0,22.0,-12,18200.0,23100.0,-4900,-,
24/05/2024,14299880,14299880,10500,11200,9770,9700,98.0,144,10500,10100,10500,10100,400,10103.0,9600,-400.0,-3.81,2969,2238,17200,17400,9700.0,98.0,16.0,16.0,-,47500.0,35800.0,11700,-,
23/05/2024,14299880,14299880,10300,11000,9580,1000,10.0,150,10450,10500,10500,10450,50,10000.0,10000,200.0,1.94,2613,2322,13400,14500,1000.0,10.0,15.0,9.0,6,39200.0,20900.0,18300,-,
22/05/2024,14299880,14299880,10200,10900,9490,8200,84.0,147,10300,10300,10300,10300,-,10244.0,9800,100.0,0.98,3878,1660,10700,3000,8200.0,84.0,9.0,10.0,-1,34900.0,16600.0,18300,-,
21/05/2024,14299880,14299880,10200,10900,9490,17400,179.0,146,10200,10200,10300,10200,100,10287.0,9700,,,2546,2283,5000,4300,17400.0,179.0,13.0,12.0,1,33100.0,27400.0,5700,-,
20/05/2024,14299880,14299880,10900,11650,10150,200,2.0,146,10200,10200,10200,10200,-,10000.0,9700,-700.0,-6.42,3640,965,17800,2700,200.0,2.0,5.0,20.0,-15,18200.0,19300.0,-1100,-,
17/05/2024,14299880,14299880,10400,11100,9680,200,2.0,156,10100,10900,10900,10100,800,10000.0,10400,500.0,4.81,3913,863,23900,6600,200.0,2.0,8.0,8.0,-,31300.0,6900.0,24400,-,
16/05/2024,14299880,14299880,10200,10900,9490,2600,26.0,149,10300,10400,10400,10300,100,10000.0,9900,200.0,1.96,3425,706,27300,9400,2600.0,26.0,12.0,17.0,-5,41100.0,12000.0,29100,-,
15/05/2024,14299880,14299880,10200,10900,9490,1200,12.0,146,10000,10200,10200,10000,200,10000.0,9700,,,2022,746,10600,4900,1200.0,12.0,9.0,13.0,-4,18200.0,9700.0,8500,-,
14/05/2024,14299880,14299880,10200,10900,9490,-,,146,10200,10200,10200,10200,-,,9700,,,2020,773,10000,1100,,,5.0,11.0,-6,10100.0,8500.0,1600,-,
13/05/2024,14299880,14299880,10200,10900,9490,-,,146,10200,10200,10200,10200,-,,9700,,,2000,1033,6000,5500,,,5.0,9.0,-4,10000.0,9300.0,700,-,
10/05/2024,14299880,14299880,10400,11100,9680,30700,312.0,146,10250,10200,10400,10100,300,10163.0,9700,-200.0,-1.92,4765,2025,12600,9700,30700.0,312.0,17.0,24.0,-7,81000.0,48600.0,32400,-,
09/05/2024,14299880,14299880,10400,11100,9680,-,,149,10400,10400,10400,10400,-,,9900,,,2350,680,12500,1400,,,6.0,15.0,-9,14100.0,10200.0,3900,-,
08/05/2024,14299880,14299880,10400,11100,9680,4200,43.0,149,10400,10400,10600,10400,200,10238.0,9900,,,2443,663,12900,900,4200.0,43.0,7.0,16.0,-9,17100.0,10600.0,6500,-,
07/05/2024,14299880,14299880,10200,10900,9490,2500,26.0,149,10400,10400,10400,10400,-,10400.0,9900,200.0,1.96,3025,1005,26300,2000,2500.0,26.0,12.0,21.0,-9,36300.0,21100.0,15200,-,
06/05/2024,14299880,14299880,10200,10900,9490,1000,10.0,146,10200,10200,10200,10200,-,10000.0,9700,,,2858,1662,14800,2400,1000.0,10.0,12.0,13.0,-1,34300.0,21600.0,12700,-,
03/05/2024,14299880,14299880,10200,10900,9490,-,,146,10200,10200,10200,10200,-,,9700,,,4179,2110,20200,16900,,,19.0,10.0,9,79400.0,21100.0,58300,-,
