Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,9548000,9548000,45400,52200,38600,13088,583.0,432,39000,45200,45300,39000,6300,44616,45200,-200.0,-0.44,976,484,3512.0,1912.0,13088.0,583.0,17.0,31.0,-14,16600.0,15000.0,1600,-,
26/09/2024,9548000,9548000,44800,51500,38100,2644,119.0,381,46000,39900,46800,39900,6900,45356,39900,-4900.0,-10.94,450,427,956.0,11456.0,2644.0,119.0,8.0,33.0,-25,3600.0,14100.0,-10500,-,
25/09/2024,9548000,9548000,42200,48500,35900,2554,113.0,381,42200,39900,47000,37500,9500,44767,39900,-2300.0,-5.45,340,425,2546.0,11046.0,2554.0,113.0,15.0,32.0,-17,5100.0,13600.0,-8500,-,
24/09/2024,9548000,9548000,40600,46600,34600,2392,100.0,361,40600,37800,45000,37200,7800,42191,37800,-2800.0,-6.9,208,321,308.0,6608.0,2392.0,100.0,13.0,28.0,-15,2700.0,9000.0,-6300,-,
23/09/2024,9548000,9548000,36700,42200,31200,2037,82.0,356,40000,37300,42000,37200,4800,40550,37300,600.0,1.63,179,281,1363.0,6663.0,2037.0,82.0,19.0,31.0,-12,3400.0,8700.0,-5300,-,
20/09/2024,9548000,9548000,35100,40300,29900,4927,181.0,357,36800,37400,38600,35000,3600,36731,37400,2300.0,6.55,419,365,1773.0,7473.0,4927.0,181.0,16.0,34.0,-18,6700.0,12400.0,-5700,-,
19/09/2024,9548000,9548000,33800,38800,28800,4110,144.0,327,35800,34300,36800,34100,2700,35105,34300,500.0,1.48,433,476,1090.0,5890.0,4110.0,144.0,12.0,21.0,-9,5200.0,10000.0,-4800,-,
18/09/2024,9548000,9548000,33100,38000,28200,2020,68.0,325,34000,34000,34000,32000,2000,33810,34000,900.0,2.72,207,383,880.0,9080.0,2020.0,68.0,14.0,29.0,-15,2900.0,11100.0,-8200,-,
17/09/2024,9548000,9548000,34500,39600,29400,1777,59.0,306,34400,32100,34400,32000,2400,33071,32100,-2400.0,-6.96,400,392,1823.0,7623.0,1777.0,59.0,9.0,24.0,-15,3600.0,9400.0,-5800,-,
16/09/2024,9548000,9548000,32000,36800,27200,192,7.0,329,34500,34500,34500,34500,-,34500,34500,2500.0,7.81,200,350,608.0,7508.0,192.0,7.0,4.0,22.0,-18,800.0,7700.0,-6900,-,
